"Slice []"	"Time [ns]"	"Distance [mm]"	"Flux_Lines []"	"Mag_B [tesla]"	"coEnergy [J_per_m3]"	"Br []"	"Bt []"
1	2000000000	99.641892	-0.00609061532879863	1.04987884312806	438576.01203676	-1.05021870052391	-0.00177900157066281
1	2000000000	100.15551	-0.00663000487082419	1.05321432677381	441083.649301688	-1.05068405618102	0.000460874868454845
1	2000000000	100.669128	-0.00717002437647892	1.05098402206678	439624.095292576	-1.05215025694755	0.00034035491470912
1	2000000000	101.182746	-0.00771081883723631	1.0419379274248	433178.481450787	-1.05370157527028	0.000242738467213149
1	2000000000	101.696364	-0.00824486290169154	1.03916670390346	422104.396947727	-1.01748473631311	-0.248234557269516
1	2000000000	102.209982	-0.00875567492573232	0.970162096639558	373588.332104794	-0.970850277187862	-0.00508187232400096
1	2000000000	102.7236	-0.00924138811861574	0.810000153812506	275647.507100103	-0.919774339250048	0.231236274440022
1	2000000000	103.237218	-0.00963157916368849	0.610127343192515	167022.747769226	-0.573578640627287	0.00737675643463342
1	2000000000	103.750836	-0.00990681221223771	0.569265552119943	132104.492323076	-0.499027698517613	-0.263957646389761
1	2000000000	104.264454	-0.0101450804947221	0.624442798590802	144828.123436619	-0.42964758714168	-0.53711461682083
1	2000000000	104.778072	-0.0103691572071358	0.598278839536433	155600.68733066	-0.507637965320067	-0.489128136491595
1	2000000000	105.29169	-0.0106422662164356	0.552900303634174	123612.460056428	-0.554759348682389	-0.142182169623184
1	2000000000	105.805308	-0.0109379015190555	0.635908257217133	150065.975925456	-0.595337156759816	0.209831177132257
1	2000000000	106.318926	-0.0112776028055994	0.755030504096857	242023.707672928	-0.923409241744671	0.00465191079754265
1	2000000000	106.832544	-0.0117623789559746	0.932540147954184	352565.564234539	-0.96430505755499	0.00576230830110594
1	2000000000	107.346162	-0.0122681727117369	1.02602462807512	412558.395756231	-1.00524818037054	0.00750035907629426
1	2000000000	107.85978	-0.0127948255108469	1.03021518677748	422355.06856778	-1.02384832944722	-2.7868819699188E-05
1	2000000000	108.373398	-0.0133204865166394	1.02465534248644	417762.934250575	-1.02307366111412	-4.32336619262247E-05
1	2000000000	108.887016	-0.0138457705375489	1.02157290545605	415235.13084501	-1.02238051828784	-0.000106719160175456
1	2000000000	109.400634	-0.0143707196388182	1.02089974226701	414691.500786418	-1.0217696555457	-0.000216793256678874
1	2000000000	109.914252	-0.0148954970538526	1.02292296910822	416329.452087905	-1.0231199595185	0.00304783511437445
1	2000000000	110.42787	-0.015421821755343	1.02680030041242	419505.604742087	-1.02638726788024	0.00279498704679124
1	2000000000	110.941488	-0.0159498460309246	1.03236422770577	424095.795309735	-1.02973668628146	0.00294133475910283
1	2000000000	111.455106	-0.0164811334624667	1.03159245254207	423227.710999117	-1.03205264690401	-0.00978664898732285
1	2000000000	111.968724	-0.0170082518133657	1.02095271397917	414767.679288504	-1.02042633978767	0.0276717854345161
1	2000000000	112.482342	-0.0175292334553243	1.00064363043576	399107.357065053	-1.00814819071901	0.0679167472764538
1	2000000000	112.99596	-0.01803041783207	0.884877099436731	308948.946725548	-0.894108795663495	-0.129411448814438
1	2000000000	113.509578	-0.0184359288731877	0.690172794827524	186905.358312285	-0.684695679835106	-0.0504329652298913
1	2000000000	114.023196	-0.0187335456749928	0.477776638366206	92827.405535758	-0.47404706558372	0.00745945224848677
1	2000000000	114.536814	-0.0189408161703099	0.503909081595793	74586.0614628752	-0.455530475811363	0.0329828084696691
1	2000000000	115.050432	-0.0192542645611486	0.781277931497185	222649.364298724	-0.765360042254138	-0.0668361348797545
1	2000000000	115.56405	-0.019727292466075	1.05813350308762	500154.179804726	-1.07681072360849	-0.133245093008867
1	2000000000	116.077668	-0.0202963907124718	1.18902906881118	607047.205339561	-0.846885203273282	0.266541703800818
1	2000000000	116.591286	-0.0206636266343041	0.623178090276025	166318.418759483	-0.583996910476501	-0.0121642575968774
1	2000000000	117.104904	-0.0208972195009809	0.433937840017499	64894.1885009989	-0.326529189708635	-0.302891059026076
1	2000000000	117.618522	-0.0210255242945495	0.670801123130737	244984.504074181	-0.512087175604149	-0.122085888445373
1	2000000000	118.13214	-0.0213187207769904	0.626640824206872	187393.183280555	-0.629316605776903	-0.0247779186203076
1	2000000000	118.645758	-0.0216716631847563	0.752439433510858	197310.721919954	-0.744722767032497	0.076054242082786
1	2000000000	119.159376	-0.0220834034182577	0.820565068444307	267245.680792514	-0.858261548812099	0.180395142595317
1	2000000000	119.672994	-0.022498211011716	0.810707334499728	262239.155518906	-0.805972215301005	-0.0194913009235117
1	2000000000	120.186612	-0.0229120948837648	0.803478186182342	256638.386586991	-0.805630803047968	-0.000638602742630112
1	2000000000	120.70023	-0.0233257304617182	0.79842097703534	253666.965524502	-0.805009237029272	0.0169853205147149
1	2000000000	121.213848	-0.023733080552194	0.796728964078611	252618.986400341	-0.793856834539156	0.0106867650488708
1	2000000000	121.727466	-0.0241429325480442	0.801942463881007	255882.110661643	-0.802124445740304	0.00462794698186983
1	2000000000	122.241084	-0.0245570758503885	0.813680092666533	263538.847560669	-0.810565248750995	-0.000951339855251529
1	2000000000	122.754702	-0.0249783972895754	0.809974011782617	259275.449155016	-0.812347716846214	-0.0236166725221669
1	2000000000	123.26832	-0.0253863864956972	0.775957885785099	239897.501336318	-0.776309494081553	-0.00759521432999676
1	2000000000	123.781938	-0.0257758056346607	0.717093857345722	211484.36552991	-0.740041812069561	0.00719545164709478
1	2000000000	124.295556	-0.0260837956646818	0.531275482089094	107349.007813891	-0.457984904784011	0.220177736371976
1	2000000000	124.809174	-0.0262988128167775	0.37236753119266	49600.2095490372	-0.379960362383866	0.00634491687493914
1	2000000000	125.322792	-0.0264748070493896	0.472961176519183	149181.994569753	-0.306053082146382	-0.213546201687478
1	2000000000	125.83641	-0.0267393498371031	0.883030977878961	377470.313645214	-0.957926432462536	-0.544822969241091
1	2000000000	126.350028	-0.0273039041432713	1.24532622853485	611093.56567807	-1.2388438622888	-0.0317875806405492
1	2000000000	126.863646	-0.0280102272001643	1.48508710921086	881179.382230934	-1.5098465501255	0.517098174194244
1	2000000000	127.377264	-0.0288031990636191	1.48354350498453	940486.951182249	-1.25606417671917	-0.169694844972515
1	2000000000	127.890882	-0.0293317581534675	0.898756968704855	331355.990802711	-0.802278661791057	-0.217677202567865
1	2000000000	128.4045	-0.02962753470052	0.358443918042613	36735.3893489437	-0.349703868942681	-0.28952192287897
1	2000000000	128.918118	-0.0297003640784271	0.268383929998707	42418.5429794816	-0.161744148300102	0.0107352446530824
1	2000000000	129.431736	-0.029824045188429	0.325991103456782	52865.5062204658	-0.319742350748874	0.052678802775784
1	2000000000	129.945354	-0.0300286604903994	0.479420864461873	84571.9495527442	-0.476862671296324	0.105609390562586
1	2000000000	130.458972	-0.0303137138155021	0.584717363861803	137082.695279733	-0.632928760114518	0.169519514537697
1	2000000000	130.97259	-0.030574803357109	0.528597435001676	112717.939653041	-0.500150445242805	0.0117712240530074
1	2000000000	131.486208	-0.0308331392268487	0.497213401227966	97825.2978868084	-0.505872994800494	-0.00875803792729342
1	2000000000	131.999826	-0.0310945249669861	0.500466806435476	99326.1869397352	-0.512028282315129	-0.0298936066579053
1	2000000000	132.513444	-0.0313532995492202	0.504346662404591	100996.064212839	-0.504495811515029	0.0138320545922666
1	2000000000	133.027062	-0.0316146096644173	0.514898764257792	105591.473629753	-0.513076859111207	0.00367331411031463
1	2000000000	133.54068	-0.0318803851750323	0.539652354821099	116633.146253797	-0.521880353595654	-0.00545721318315904
1	2000000000	134.054298	-0.0321571129794885	0.51500203249607	101764.608685112	-0.517331139782644	-0.123335972946739
1	2000000000	134.567916	-0.0323974338187227	0.418904398283794	69524.386425578	-0.418128238055827	-0.0130208806528302
1	2000000000	135.081534	-0.0325862878442148	0.282683673910966	38338.7285552073	-0.316948436274063	0.089904279809108
1	2000000000	135.595152	-0.0326937408906397	0.152730723097258	6714.86558994527	-0.129667817431535	0.0970222999838702
1	2000000000	136.10877	-0.032770798670893	0.16282295900828	8255.14012144387	-0.170724189207091	-0.00741483472940253
1	2000000000	136.622388	-0.0328694496695372	0.316742818368203	58663.7134839059	-0.213743276872774	-0.109895910395154
1	2000000000	137.136006	-0.0330667015946859	0.559874407784653	143815.246487406	-0.70381905692051	0.012114474811144
1	2000000000	137.649624	-0.0334277254294838	0.685322921491847	190198.98319591	-0.702027350858735	0.00542424432737939
1	2000000000	138.163242	-0.0337878743285868	0.722039156674248	202468.966396329	-0.700409631111641	-0.000466503448931485
1	2000000000	138.67686	-0.0341438035337025	0.636035616475194	164889.928394646	-0.640737414754234	-0.0521613129004753
1	2000000000	139.190478	-0.0344130646348591	0.412971340024491	68506.3708884203	-0.407831253989803	-0.0758006862158482
1	2000000000	139.704096	-0.0345628377606978	0.201636521178444	17083.0053975916	-0.175484394350622	-0.106985663071236
1	2000000000	140.217714	-0.0345952513905904	0.122525664811388	10335.7601047918	-0.0735652871541366	-0.0141843892787102
1	2000000000	140.731332	-0.0346345865818321	0.0752112047586725	4314.71132957399	-0.0795905290209526	-0.00927597193204205
1	2000000000	141.24495	-0.034676994346169	0.0905408968410065	2222.85533464563	-0.0855300197294094	-0.00445590552492462
1	2000000000	141.758568	-0.0347224313767597	0.101191603925803	3895.54255722219	-0.0913865692687646	0.000275157954910774
1	2000000000	142.272186	-0.0347761768605339	0.104795459765621	4503.87650745249	-0.106824705348792	-0.00997169900567912
1	2000000000	142.785804	-0.0348312570356751	0.108427511666909	4630.53541165161	-0.107635593948199	-0.00306129735576452
1	2000000000	143.299422	-0.0348867228548766	0.10896748583603	4705.6343444396	-0.108327165636642	0.00359527707232597
1	2000000000	143.81304	-0.0349428808433344	0.108442746929775	4617.87403535439	-0.10836344738524	-0.00430666801641819
1	2000000000	144.326658	-0.0349975885102934	0.104446734737245	4357.22005476878	-0.104644040334024	0.00329757991737098
1	2000000000	144.840276	-0.0350503509422415	0.0980780215850377	3956.48938130528	-0.100788601575257	0.0109994443817395
1	2000000000	145.353894	-0.0350957567559134	0.0823562738838579	2805.70224842664	-0.0762568586407867	0.0113464641869266
1	2000000000	145.867512	-0.0351316099242966	0.0635755787293491	1584.77243681386	-0.0633885978082142	0.000610956954339174
1	2000000000	146.38113	-0.0351609093781959	0.0486482509646564	872.33134153333	-0.0507423375538641	-0.0116836177310605
1	2000000000	146.894748	-0.0351883130560626	0.0935683178615844	3439.43494167148	-0.0874877535942374	0.0134084256753553
1	2000000000	147.408366	-0.035264236756479	0.211859216455368	17503.4669095448	-0.208147177973451	0.0183529304966754
1	2000000000	147.921984	-0.0354020975709873	0.324826556521513	41668.7760145601	-0.328632286817489	0.0334421686028614
1	2000000000	148.435602	-0.0355984977687578	0.409040076614156	66772.9504962562	-0.411148788153024	-0.04371192516143
1	2000000000	148.94922	-0.0358129376137206	0.42492329251084	71909.998202301	-0.423734299646234	0.00253941195855532
1	2000000000	149.462838	-0.0360336242102394	0.432158473719207	74514.4154415393	-0.435468976422805	0.0500911275546444
1	2000000000	149.976456	-0.0362597194572748	0.420782987323282	70341.8676749741	-0.433065337761259	-0.100320385325051
1	2000000000	150.490074	-0.0364558190275954	0.333375751522889	42946.0998819156	-0.330426944559736	-0.0635137495645396
1	2000000000	151.003692	-0.0365990390156294	0.235744507039174	23906.2193194517	-0.227170756299886	-0.031436294084759
1	2000000000	151.51731	-0.0366890802466668	0.167491286740895	14141.4818065635	-0.123366095071494	-0.00409289398203075
1	2000000000	152.030928	-0.0367167450598965	0.092136841788443	5858.32437602967	-0.0756506717388711	0.074306826784714
