"Time [s]"	"Pro [W]"
0.491	98.5949245685261
0.492	99.2337891191476
0.493	98.8801350489736
0.494	97.978615523119
0.495	97.5483727455678
0.496	97.9871996650341
0.497	98.8301876935349
0.498	99.0998262011871
0.499	98.382450871184
0.5	97.561910140734
0.501	97.5381464754711
0.502	98.2882881103456
0.503	99.0230077588425
0.504	98.8478862895796
0.505	97.9381461749232
0.506	97.3574966278609
0.507	97.7114250766099
0.508	98.5958756952058
0.509	99.0208810533373
0.51	98.4398498673434
0.511	97.5459848699235
0.512	97.3261748547602
0.513	97.9527273606971
0.514	98.7544183604482
0.515	98.7831618818986
0.516	97.943717245563
0.517	97.2866757719233
0.518	97.533572453056
0.519	98.4169446831994
0.52	99.0413996190334
0.521	98.6929011130135
0.522	97.8563472809916
0.523	97.5223724143503
0.524	98.0773306289329
0.525	98.967874593306
0.526	99.1899519841402
0.527	98.4595079898086
0.528	97.6514537002875
0.529	97.6572057872523
0.53	98.4159449134407
0.531	99.0827340591826
0.532	98.8034574664903
0.533	97.8970756472171
0.534	97.435129663164
0.535	97.8858234487657
0.536	98.7915962915958
0.537	99.150314282848
0.538	98.5258262539907
0.539	97.7075620798724
0.54	97.6245255908905
0.541	98.3597464990941
0.542	99.1245708551921
0.543	98.9857652796763
0.544	98.0767835274439
0.545	97.4647393417881
0.546	97.7500869783829
0.547	98.578151633605
0.548	99.0114861265128
0.549	98.4294099136708
0.55	97.5404572492279
0.551	97.3394122922052
0.552	97.9746686349387
0.553	98.8096156334589
0.554	98.9039438661376
0.555	98.1251604082224
0.556	97.4216779084285
0.557	97.5924778135408
0.558	98.4665582847372
0.559	99.0946024283287
0.56	98.7160066208556
0.561	97.8056643536364
0.562	97.4312703266396
0.563	97.9624321028833
0.564	98.8322496976844
0.565	99.049607836744
0.566	98.2837779928965
0.567	97.4985143310117
0.568	97.5447787852459
0.569	98.3237639921918
0.57	99.0278626414383
0.571	98.8522984097841
0.572	97.989402562205
0.573	97.4331500003708
0.574	97.8196930411208
0.575	98.7346922295207
0.576	99.1285991904599
