"Time [s]"	"Moving1.Speed [rpm]"
0.463	1472.09732048031
0.464	1477.212475081
0.465	1475.58389025292
0.466	1468.68169422841
0.467	1464.45819828951
0.468	1466.97611330832
0.469	1473.39985139434
0.47	1476.7609360014
0.471	1473.04526744321
0.472	1467.26388394902
0.473	1466.16558338251
0.474	1471.34251885767
0.475	1477.65496087969
0.476	1477.588373384
0.477	1471.23792341298
0.478	1466.13399220979
0.479	1467.54009809708
0.48	1473.7886997517
0.481	1477.88109799294
0.482	1474.42461856808
0.483	1467.73566225133
0.484	1465.62887416895
0.485	1469.88670094687
0.486	1476.31441294708
0.487	1477.86627467832
0.488	1472.78987316918
0.489	1467.54577293897
0.49	1468.23396533813
0.491	1474.40972530977
0.492	1479.17887114289
0.493	1476.54073476239
0.494	1469.79429226142
0.495	1466.56366833252
0.496	1469.85867695591
0.497	1476.16776490111
0.498	1478.18010831872
0.499	1472.82017977033
0.5	1466.66542688884
0.501	1466.486794322
0.502	1472.11518607918
0.503	1477.6070825551
0.504	1476.29993568824
0.505	1469.49071703712
0.506	1465.12812900125
0.507	1467.78883886209
0.508	1474.41683696917
0.509	1477.59121527304
0.51	1473.24975878665
0.511	1466.54571829913
0.512	1464.89243013902
0.513	1469.60010301447
0.514	1475.60179565959
0.515	1475.81652481681
0.516	1469.53251137615
0.517	1464.59514228492
0.518	1466.4524086875
0.519	1473.07834944249
0.52	1477.74429653064
0.521	1475.14212457176
0.522	1468.8769223662
0.523	1466.36820796121
0.524	1470.53452711435
0.525	1477.19568069887
0.526	1478.85211688294
0.527	1473.39685307059
0.528	1467.33833459659
0.529	1467.38155020219
0.53	1473.0708672811
0.531	1478.05262901435
0.532	1475.9681246453
0.533	1469.18256801577
0.534	1465.71216044285
0.535	1469.09813235329
0.536	1475.87952834534
0.537	1478.55660229383
0.538	1473.89297922132
0.539	1467.75982424311
0.54	1467.13600595707
0.541	1472.65022371327
0.542	1478.36464331618
0.543	1477.32919296475
0.544	1470.53042559187
0.545	1465.9348520404
0.546	1468.07919331959
0.547	1474.28430693585
0.548	1477.52111798404
0.549	1473.17163459676
0.55	1466.50416546986
0.551	1464.99204754728
0.552	1469.76468798445
0.553	1476.01412058897
0.554	1476.71848822343
0.555	1470.89305424965
0.556	1465.61097988757
0.557	1466.89517350659
0.558	1473.44960417924
0.559	1478.14114872017
0.56	1475.31479105985
0.561	1468.49648396576
0.562	1465.68313224476
0.563	1469.6729020945
0.564	1476.18316428591
0.565	1477.80553049768
0.566	1472.08141049573
0.567	1466.1888292505
0.568	1466.53665188912
0.569	1472.38083254537
0.57	1477.64330404113
0.571	1476.33288297895
0.572	1469.87519916153
0.573	1465.69727037919
0.574	1468.60179657577
0.575	1475.45441304918
