"Time [s]"	"FluxLinkage(Phase_A) [Wb]"	"FluxLinkage(Phase_C) [Wb]"	"FluxLinkage(Phase_B) [Wb]"
1.26799999999997	1.30804640223816	0.30093324269857	-1.58483572910709
1.26899999999997	1.57532156832027	-0.206138971405311	-1.33378380000468
1.26999999999997	1.67333889774268	-0.692259173542366	-0.944234773121867
1.27099999999997	1.622802503612	-1.11981271342148	-0.465116099430888
1.27199999999997	1.42369645323424	-1.45208940463473	0.0653643657100143
1.27299999999997	1.09258139132033	-1.64698326721945	0.595113195731896
1.27399999999997	0.661171601138159	-1.66007308843089	1.05649641752048
1.27499999999997	0.160489367678348	-1.50384130708104	1.39849370465906
1.27599999999997	-0.362259852728747	-1.20157846424839	1.59780694591682
1.27699999999997	-0.85391044243121	-0.778358611849538	1.66153831006548
1.27799999999997	-1.27054319658247	-0.276766522578475	1.5758348338901
1.27899999999997	-1.56343348243952	0.251251361727015	1.34546659018717
1.27999999999997	-1.6756606739418	0.743009678101351	0.972256213153748
1.28099999999997	-1.62554357483688	1.14244536715317	0.489070892643266
1.28199999999997	-1.42180312765034	1.44617998934162	-0.03765355289325
1.28299999999997	-1.07085674650987	1.62901712902425	-0.56219027842867
1.28399999999997	-0.623445900378929	1.6610255867693	-1.03890978015244
1.28499999999997	-0.129696543935251	1.51846096816213	-1.41664723658876
1.28599999999997	0.376950372986843	1.21770919460542	-1.62530521933495
1.28699999999997	0.844984789907545	0.795029208834317	-1.67415183112102
1.28799999999997	1.2436861204489	0.290785400598201	-1.57288064404077
1.28899999999997	1.53411149200379	-0.243795385542491	-1.32483130981371
1.28999999999997	1.67199691438484	-0.762199176974529	-0.956514556457506
1.29099999999997	1.62553461989603	-1.18849544452944	-0.498836296220186
1.29199999999997	1.41950862803248	-1.481702108872	0.0155593922467598
1.29299999999997	1.07140104574781	-1.63638384429552	0.532530295536967
1.29399999999997	0.61799183905004	-1.6491213837078	1.00353395707754
1.29499999999997	0.10043232410206	-1.51389481974828	1.38416403471248
1.29599999999997	-0.422632479390697	-1.23465021456275	1.61455835409916
1.29699999999997	-0.887439511917092	-0.819618065626717	1.67516400395151
1.29799999999997	-1.25748729226482	-0.315600198461187	1.57390488065314
1.29899999999997	-1.52279351983544	0.214285612215332	1.31832556284115
1.29999999999997	-1.65804284256333	0.728839643580673	0.92805589773957
1.30099999999997	-1.63320503480233	1.18198084118362	0.460231410025523
1.30199999999997	-1.43543250439509	1.50702344887265	-0.0429696379804218
1.30299999999997	-1.08620967091042	1.65720286711004	-0.540436931832051
1.30399999999997	-0.634187276434443	1.65733788425819	-0.98873153639469
1.30499999999997	-0.113306704414093	1.50596309021035	-1.3544849266107
1.30599999999997	0.419925038859181	1.21192962614406	-1.59819354762722
1.30699999999997	0.918305527747382	0.810067249730858	-1.67807593727537
1.30799999999997	1.30947888033006	0.331386956417951	-1.57411187951973
1.30899999999997	1.55016506104124	-0.190024815344118	-1.31853757366617
1.30999999999997	1.65877640877892	-0.695506292377859	-0.930428450325206
1.31099999999997	1.62007258534444	-1.14068530647798	-0.450851450124905
1.31199999999997	1.43717844850062	-1.48309073103117	0.0773949214188082
1.31299999999997	1.11231645219745	-1.65531253062386	0.591076369414322
1.31399999999997	0.661523205969149	-1.65924407507136	1.02443896529112
1.31499999999997	0.144565269861634	-1.50658703899617	1.36005273262611
1.31599999999997	-0.383465687270827	-1.20166107460136	1.58282638591099
1.31699999999997	-0.881218179767022	-0.77844107117316	1.6674100399189
1.31799999999997	-1.30152185384063	-0.293362255275642	1.58553172310062
1.31899999999997	-1.57467913020119	0.214843514748022	1.33961302700092
1.31999999999997	-1.67470343610197	0.697144864013039	0.950346689087122
1.32099999999997	-1.62400535136617	1.1182333849952	0.470524241798645
1.32199999999997	-1.42273999037472	1.44612897685194	-0.0590116011658596
1.32299999999997	-1.08622309591184	1.63998452280344	-0.586326100470114
1.32399999999996	-0.654721397401572	1.66422525725811	-1.05937199757799
1.32499999999996	-0.160314558127255	1.50522409809452	-1.40610209105402
1.32599999999996	0.35911380660337	1.2030300227137	-1.60365861054009
1.32699999999996	0.847818750465953	0.78145235115934	-1.66297174746798
1.32799999999996	1.26285994298123	0.278884383086682	-1.57342375955243
1.32899999999996	1.55313490502289	-0.251941624165117	-1.34147102974164
1.32999999999996	1.6738239632381	-0.751843506787674	-0.974940689522849
1.33099999999996	1.62451151712002	-1.15231244070848	-0.494718351080826
1.33199999999996	1.42153182473832	-1.44972432366874	0.0313738835882894
1.33299999999996	1.06986767971021	-1.62768149771453	0.554818773773105
1.33399999999996	0.61900594975253	-1.65849824048546	1.03160990336351
1.33499999999996	0.120506805852042	-1.5202075499807	1.41251104902266
1.33599999999996	-0.386200710669509	-1.22386105311919	1.62608310345074
1.33699999999996	-0.849139069920953	-0.799048402025799	1.6757745160219
1.33799999999996	-1.24179564343178	-0.294754329981261	1.57370850914238
1.33899999999996	-1.52933171965632	0.239371519252806	1.32220005781172
1.33999999999996	-1.66817044528215	0.755356349135812	0.949041031541019
1.34099999999996	-1.62709053222107	1.1907120482147	0.493387723754704
1.34199999999996	-1.41995892678727	1.48904755890224	-0.0163822035325238
1.34299999999996	-1.07205785097201	1.64071461540601	-0.530184728875118
1.34399999999996	-0.61969939012328	1.64910503906745	-0.999224237677495
1.34499999999996	-0.099895535534585	1.51084333260024	-1.37838756126526
1.34599999999996	0.42890451624295	1.23265023562448	-1.61708791849697
1.34699999999996	0.900835155837802	0.823507894358681	-1.67671204654296
1.34799999999996	1.26611680156214	0.320548013760712	-1.57340959665101
1.34899999999996	1.52506684543144	-0.208073332056386	-1.31876930646091
1.34999999999996	1.65605202944665	-0.720648811821089	-0.92712640728776
1.35099999999996	1.63205856200187	-1.17426607356868	-0.454988210496514
1.35199999999996	1.43950939353568	-1.50394270099334	0.0521384191123289
1.35299999999996	1.09372405807308	-1.66061954704669	0.549602192017661
1.35399999999996	0.641059283512973	-1.6590546576359	0.990117427681745
1.35499999999996	0.121137612418884	-1.50686174485246	1.34942881049363
1.35599999999996	-0.411019588822987	-1.20858364045929	1.59157862194792
1.35699999999996	-0.908206005310089	-0.802594001569095	1.67505778230487
1.35799999999996	-1.31187772112173	-0.328495996722479	1.57699705810979
1.35899999999996	-1.55727335943177	0.186807298963052	1.32043232619813
1.35999999999996	-1.66216773075309	0.687492428724333	0.934054284798325
1.36099999999996	-1.6187906765313	1.13030059166133	0.456067905458064
1.36199999999996	-1.43323177543961	1.47273138928804	-0.0756279182817386
1.36299999999996	-1.11011038776437	1.65278377923526	-0.595515421373884
1.36399999999996	-0.668136336478219	1.65992767272808	-1.03954955229847
1.36499999999996	-0.152548132215227	1.50544325403246	-1.36848275704562
1.36599999999996	0.374193515328237	1.20180432764956	-1.58367462630186
1.36699999999996	0.870847998175571	0.77695978582636	-1.66401911465473
1.36799999999996	1.29324022485746	0.286043583620253	-1.58485527049401
1.36899999999996	1.57277675363555	-0.226285351972264	-1.34493565428318
1.36999999999996	1.67559493459171	-0.706077751186303	-0.957387327288465
1.37099999999996	1.62520808568904	-1.12038924390775	-0.476253579653264
1.37199999999996	1.422349987969	-1.44239872712503	0.053190699483627
1.37299999999996	1.0806585718678	-1.63632093976945	0.58025414138841
1.37399999999996	0.646484417700008	-1.66218494832139	1.05321395028849
1.37499999999996	0.15620878650718	-1.50855771813331	1.41573722583198
1.37599999999996	-0.35936764335843	-1.20447411595578	1.60976868323409
1.37699999999996	-0.844088453450901	-0.783586828689557	1.66543801334138
1.37799999999996	-1.25705523707125	-0.280610464216559	1.57153028035699
1.37899999999996	-1.54912949348808	0.252976919289808	1.3367473566396
1.37999999999996	-1.67303756511428	0.759161366833221	0.972956309710077
1.38099999999996	-1.62351668406895	1.16380047117382	0.498018689835404
1.38199999999996	-1.42071583613519	1.4559101837551	-0.0270941722427111
1.38299999999996	-1.06912146334885	1.62797952375724	-0.549465751410464
1.38399999999996	-0.614611052318561	1.65820611696711	-1.02882523505519
1.38499999999996	-0.111490633736117	1.52079143345901	-1.40894653986857
1.38599999999996	0.397388896284719	1.22937202486298	-1.62651116545252
1.38699999999996	0.856278945336368	0.802846080419049	-1.67729059601273
1.38799999999996	1.24305794356787	0.298756210313702	-1.57463569946336
1.38899999999996	1.52590378212282	-0.234740873045012	-1.3206397114783
1.38999999999996	1.66661123631009	-0.750749697874414	-0.942400732281621
1.39099999999996	1.63139690461715	-1.19419295382499	-0.486067621677463
1.39199999999996	1.42275212483363	-1.49555704986539	0.0187226467855369
1.39299999999996	1.07474787127968	-1.6457235486187	0.528420196745107
1.39399999999996	0.623570557369711	-1.65072667424696	0.992868756404979
1.39499999999996	0.103017775066902	-1.50833181596254	1.37054027216155
1.39599999999996	-0.429478560328421	-1.22847578217321	1.61345965524464
1.39699999999996	-0.90978624351906	-0.825655146592151	1.67568842812279
1.39799999999996	-1.27696834268005	-0.327487035620794	1.57210424784261
1.39899999999996	-1.52871498672815	0.199684929335745	1.31886472789224
1.39999999999996	-1.65417353686869	0.710388645598058	0.92761991880007
1.40099999999996	-1.62727155546006	1.15957564160071	0.451971538889679
1.40199999999996	-1.44181096250083	1.49784658982508	-0.0612232263656237
1.40299999999996	-1.10307737553679	1.65942938456062	-0.561146136081525
1.40399999999996	-0.647693722812124	1.65965586193295	-0.995504479103382
1.40499999999996	-0.128755671253915	1.50699762478298	-1.34787470956854
1.40599999999996	0.402603350015336	1.20553752442591	-1.58599221280364
1.40699999999996	0.901247546011742	0.794154362893356	-1.67362741439244
1.40799999999996	1.31186297626393	0.320515610421247	-1.58026415633459
1.40899999999996	1.56344140967965	-0.190076403726367	-1.32383755119689
1.40999999999996	1.66621264456769	-0.68579602285571	-0.937449282551278
1.41099999999996	1.6194607614481	-1.12393025913256	-0.459277793437802
1.41199999999996	1.42807732037153	-1.46259391077741	0.0716174347320019
1.41299999999996	1.10427943826873	-1.64719455221811	0.595240525618255
1.41399999999996	0.668534659598326	-1.65959677884409	1.04944396564338
1.41499999999995	0.155692375181411	-1.50404365203727	1.37823930808305
1.41599999999995	-0.370789205295049	-1.20090932714115	1.5867653760095
1.41699999999995	-0.866253600805607	-0.775242634853065	1.66223973513168
1.41799999999995	-1.28454919422637	-0.280211563895981	1.58126621257193
1.41899999999995	-1.56494304502376	0.236409982796978	1.34531306730351
1.41999999999995	-1.67564027625506	0.716945008263869	0.960175434577098
1.42099999999995	-1.62541658837014	1.12658923417364	0.476944572631724
1.42199999999995	-1.42107086997745	1.44356921979237	-0.0526836526301884
1.42299999999995	-1.07531125994727	1.6350198769821	-0.579766851795386
1.42399999999995	-0.637521853949957	1.66268330296303	-1.05383380623427
1.42499999999995	-0.147893657775881	1.51044720478932	-1.41996281579313
1.42599999999995	0.365051921225732	1.20507411726977	-1.61487274392963
1.42699999999995	0.84653215083196	0.783422726047333	-1.66825974363399
1.42799999999995	1.25628304365291	0.279555756193288	-1.57107279275426
1.42899999999995	1.54849261630586	-0.25514389275302	-1.33265265425158
1.42999999999995	1.67155788033035	-0.761674973330331	-0.968026400289449
1.43099999999995	1.62558430178802	-1.17575555681521	-0.498373549495833
1.43199999999995	1.4202683520962	-1.46274893471316	0.0260863505881011
1.43299999999995	1.06894789149228	-1.62958586589175	0.547107060587073
1.43399999999995	0.613906501838909	-1.65384166355076	1.02147665819437
