"Time [s]"	"Current(Phase_A) [mA]"	"InputVoltage(Phase_A) [V]"	"InducedVoltage(Phase_A) [V]"	"FluxLinkage(Phase_A) [Wb]"	"Current(Phase_B) [mA]"	"InputVoltage(Phase_B) [V]"	"InducedVoltage(Phase_B) [V]"	"FluxLinkage(Phase_B) [Wb]"	"Current(Phase_C) [mA]"	"InputVoltage(Phase_C) [V]"	"InducedVoltage(Phase_C) [V]"	"FluxLinkage(Phase_C) [Wb]"
0.055	17930.5322473806	-449.073119510249	-415.550444553448	0.0738916873175725	17465.7462333553	224.53655975512	257.586663118696	1.13172571521026	-35396.2784807359	224.53655975513	187.643165743889	-1.15006074729646
0.056	12747.7921345128	-427.093916603213	-411.180245094448	-0.337288557776876	17465.6276355317	93.3675515781755	158.797333955074	1.29052304916534	-30213.4197700445	333.726365025038	269.327836379234	-0.880732910917228
0.057	6774.8743923118	-363.307785400759	-376.2559323426	-0.713544490119475	15234.0173437409	-46.9409230772248	20.2158770371703	1.31073892620251	-22008.8917360527	410.248708477984	324.700712961281	-0.556032197955947
0.058	-85.3371203888846	-263.958556849095	-285.710175393681	-0.999254665513156	13000.6197009285	-182.654493125181	-119.15190749443	1.19158701870808	-12915.2825805396	446.613049974277	371.593365431119	-0.184438832524829
0.059	-6230.64665237401	-138.771225645632	-162.732204391583	-1.16198686990474	11531.2012572937	-300.488568757362	-240.586748375913	0.951000270332165	-5300.55460491969	439.259794402995	403.170177884919	0.21873134536009
0.06	-9028.80593416687	6.03961325396085E-12	-49.0884172488117	-1.21107528715355	9480.0786573592	-388.908729652604	-340.753231593896	0.610247038738269	-451.272723192329	388.908729652598	388.779546577889	0.607510891937979
0.061	-7790.54321476637	138.771225645645	60.4471616196047	-1.15062812553395	5163.59147860815	-439.259794402997	-400.099992565668	0.210147046172601	2626.95173615822	300.488568757352	323.046693374436	0.930557585312415
0.062	-3906.21639145332	263.958556849105	181.545120288799	-0.969083005245147	-1691.45167530743	-446.613049974276	-404.641606352773	-0.194494560180171	5597.66806676075	182.65449312517	223.727768380117	1.15428535369253
0.063	242.833581036739	363.307785400767	299.202763094526	-0.669880242150621	-9242.79840107714	-410.248708477979	-374.742496872154	-0.569237057052326	8999.9648200404	46.940923077212	98.6534314910143	1.25293878518355
0.064	3342.69740494851	427.093916603216	382.643563220427	-0.287236678930195	-14912.7598204243	-333.726365025031	-331.149504782525	-0.90038656183485	11570.0624154758	-93.3675515781865	-41.341820524494	1.21159696465905
0.065	5948.13226499701	449.073119510249	418.617090485337	0.131380411555142	-17220.6580685965	-224.536559755121	-266.496972310433	-1.16688353414528	11272.5258035995	-224.53655975513	-170.087078241208	1.04150988641785
0.066	9584.32553232527	427.093916603213	414.451686609036	0.545832098164179	-16723.0212324283	-93.3675515781763	-158.680280289808	-1.32556381443509	7138.69570010305	-333.726365025038	-262.042003453422	0.779467882964423
0.067	15243.2785465984	363.30778540076	359.832062075945	0.905664160240124	-15576.5904823615	46.9409230772239	-21.851720736807	-1.3474155351719	333.311935763083	-410.248708477984	-332.357389110008	0.447110493854415
0.068	21942.2596577292	263.958556849095	257.728788565196	1.16339294880532	-15268.56820071	182.654493125182	112.95182292993	-1.23446371224197	-6673.69145701925	-446.613049974277	-395.152152443675	0.0519583414107403
0.069	27086.2331990137	138.771225645632	148.069689218215	1.31146263802353	-15791.5878118596	300.488568757362	243.31492521678	-0.991148787025188	-11294.6453871542	-439.259794402994	-426.113292640104	-0.374154951229364
0.07	28506.877638906	-5.98276983510004E-12	48.1077356861652	1.3595703737097	-15181.1901010241	388.908729652604	351.391052732687	-0.639757734292501	-13325.6875378819	-388.908729652598	-401.165296488438	-0.775320247717803
0.071	25277.9617934772	-138.771225645645	-52.6747324847354	1.30689564122496	-11429.5645188164	439.259794402997	409.547464205135	-0.230210270087366	-13848.3972746608	-300.488568757352	-330.896216961357	-1.10621646467916
0.0720000000000001	19910.487398107	-263.958556849105	-168.511336897595	1.13838430432737	-4668.22468899244	446.613049974276	418.958312596343	0.188748042508977	-15242.2627091146	-182.65449312517	-218.38967794696	-1.32460614262612
0.0730000000000001	14754.4105946785	-363.307785400768	-289.278242643418	0.849106061683952	3326.19064885235	410.248708477979	384.924436720446	0.573672479229423	-18080.6012435308	-46.9409230772104	-87.8168529695489	-1.41242299559567
0.0740000000000001	11678.1695695695	-427.093916603217	-384.914669995057	0.464191391688895	9563.28960348037	333.72636502503	334.560696142396	0.908233175371819	-21241.4591730499	93.367551578188	53.9176262175858	-1.35850536937808
0.0750000000000001	9668.14277884234	-449.073119510249	-427.623224291623	0.0365681673972722	12395.3856010926	224.536559755119	267.047598163142	1.17528077353496	-22063.528379935	224.536559755131	183.572482374145	-1.17493288700394
0.0760000000000001	7032.73440950682	-427.093916603213	-428.036672858811	-0.391468505461539	12121.5439174206	93.3675515781762	159.410301154499	1.33469107468946	-19154.2783269274	333.726365025038	275.130755153741	-0.899802131850197
0.0770000000000001	3295.84351588026	-363.307785400759	-388.506623928887	-0.779975129390426	10528.3642318155	-46.9409230772239	18.4987062384181	1.35318978092788	-13824.2077476957	410.248708477984	339.197288931622	-0.560604842918575
0.0780000000000001	-1710.57943458752	-263.958556849094	-291.692885712785	-1.07166801510321	9187.85783828511	-182.654493125183	-118.152868216798	1.23503691271108	-7477.27840369759	446.613049974277	391.220364545815	-0.16938447837276
0.0790000000000001	-6163.69717864139	-138.771225645631	-170.695681305525	-1.24236369640874	8605.64571983393	-300.488568757363	-242.184285194065	0.992852627517015	-2441.94854119254	439.259794402994	420.664570012916	0.251280091640156
0.0800000000000001	-8141.42073994227	7.51754214434186E-12	-53.8174234677147	-1.29618111987645	7679.18289138535	-388.908729652605	-346.185704577628	0.646666922939388	462.237848556923	388.908729652597	401.326563345849	0.652606654986005
0.0810000000000001	-7089.85103809507	138.771225645645	61.2320605905612	-1.23494905928589	4941.57272496157	-439.259794402997	-409.940594958244	0.236726327981144	2148.27831313349	300.488568757352	331.892951804188	0.984499606790192
0.0820000000000001	-4108.82348946797	263.958556849107	185.966461106421	-1.04898259817947	110.458463912461	-446.613049974276	-419.412214268379	-0.182685886287236	3998.36502555551	182.654493125168	230.130230554551	1.21462983734474
0.0830000000000001	-1063.73114964323	363.307785400768	305.058167238147	-0.743924430941322	-5427.94389863202	-410.248708477978	-390.654043263084	-0.573339929550319	6491.67504827525	46.9409230772089	103.825706003778	1.31845554334852
0.0840000000000001	984.850969936006	427.093916603217	390.566500721811	-0.353357930219511	-9592.29519564557	-333.726365025029	-342.632535879925	-0.915972465430244	8607.44422570957	-93.3675515781895	-36.880938826495	1.28157460452203
0.0850000000000001	2489.24721816514	449.073119510249	429.218935979649	0.0758610057601379	-11235.4203094429	-224.536559755119	-271.143051647012	-1.18711551707726	8746.17309127777	-224.536559755131	-169.510772403785	1.11206383211824
0.0860000000000001	4753.96676382985	427.093916603212	427.436464909665	0.503297470669803	-10800.574691261	-93.3675515781733	-158.669189103025	-1.34578470618028	6046.60792743118	-333.72636502504	-268.262531776026	0.843801300342215
0.0870000000000001	8591.43722716045	363.307785400759	376.723364886983	0.880020835556786	-9873.26448773911	46.9409230772254	-20.4841677479368	-1.36626887392822	1281.82726057866	-410.248708477985	-342.996231001602	0.500805069340613
0.0880000000000001	13357.1113276832	263.958556849094	277.559701671613	1.1575805372284	-9618.32177986376	182.654493125183	114.683923410213	-1.251584950518	-3738.78954781945	-446.613049974277	-404.95866246316	0.0958464068774526
0.0890000000000001	17072.4756234322	138.771225645631	163.452044609418	1.32103258183782	-10030.2623207137	300.488568757363	242.040918300774	-1.00954403221723	-7042.21330271848	-439.259794402994	-434.256396319182	-0.33840998944173
0.0900000000000001	18132.6568522831	-9.06652530829888E-12	53.6695841540624	1.37470216599188	-9854.2519425697	388.908729652605	350.416375184838	-0.659127657032393	-8278.40490971341	-388.908729652597	-409.699434138645	-0.748109423580375
