"Time [s]"	"Current(EndConnection) [kA]"	"RingCurrent(EndConnection) [kA]"
0.296	1.45355354421168	-9.02086495802427
0.297	2.12673049639866	-7.75117743230273
0.298	2.53106695190278	-5.9155067053982
0.299	2.71575861509093	-3.5285599785833
0.3	2.65669396189493	-0.738274652764107
0.301	2.37398098697792	2.08749012730112
0.302	1.85365813276544	4.75553589894133
0.303	1.12441277765494	7.11559548235395
0.304	0.318000000235448	8.64058561521086
0.305	-0.51531016949705	9.23561784112718
0.306	-1.34014433062612	8.93027554945398
0.307	-2.01987964257261	7.80743948638298
0.308	-2.46552152161884	5.9131171933883
0.309	-2.66128066383427	3.46181156897827
0.31	-2.59414539683342	0.589937417424173
0.311	-2.30221369382379	-2.25914410200874
0.312	-1.79562340926118	-4.8932905739906
0.313	-1.07432764480197	-7.18916522916877
0.314	-0.236245898583158	-8.73300269778127
0.315	0.643973897744223	-9.35262818123008
0.316	1.45347985951666	-9.01841464708302
0.317	2.12645107238722	-7.75097414361892
0.318	2.53105594301911	-5.9157066232904
0.319	2.7157940134373	-3.5291308813892
0.32	2.6565581433003	-0.737815892425183
0.321	2.37363545257759	2.08682002088207
0.322	1.85343276029143	4.7539332261322
0.323	1.12399269423693	7.11343856794022
0.324	0.316380185170812	8.63914591168016
0.325	-0.517130836741851	9.23394352472474
0.326	-1.34166664351117	8.92842533753323
0.327	-2.02148067342782	7.80521657427778
0.328	-2.46651733185646	5.91249102847642
0.329	-2.66232252728624	3.46363194450566
0.33	-2.5960001892514	0.594492732553182
0.331	-2.30389400073961	-2.25373075907499
0.332	-1.79629470416098	-4.88913056810679
0.333	-1.07432294540947	-7.18626643137152
0.334	-0.236273227749592	-8.72974065987875
0.335	0.643902796464341	-9.34960684411109
0.336	1.45325674189931	-9.01598703440604
0.337	2.12600490251117	-7.75069463691207
0.338	2.53089958585806	-5.91584309107426
0.339	2.71569583749422	-3.52943447350867
0.34	2.65629880456522	-0.737150648346391
0.341	2.37317491564959	2.08650255146112
0.342	1.85310111370108	4.7527426283191
0.343	1.12345190130669	7.11162681243428
0.344	0.31465579289376	8.6380415014526
0.345	-0.519122208591556	9.23268100237439
0.346	-1.34333102546541	8.92699457295596
0.347	-2.02326694689276	7.80329766176082
0.348	-2.4675985728876	5.91207987357823
0.349	-2.66326831589963	3.46530327091208
0.35	-2.59762449533229	0.598673841335243
0.351	-2.30538881024185	-2.24872182251333
0.352	-1.79696613572595	-4.88516179577337
0.353	-1.07442877504401	-7.18341948787842
0.354	-0.236391193056217	-8.72664956857506
0.355	0.643713384740715	-9.34665502377165
0.356	1.45291560836988	-9.01359553758458
0.357	2.12542464713524	-7.75033997834506
0.358	2.53063714552598	-5.91589700833375
0.359	2.71549307851945	-3.52953256188184
0.36	2.65594404158241	-0.73636367845373
0.361	2.37262621978649	2.08647080668639
0.362	1.85273662121182	4.75168078896959
0.363	1.12285937129826	7.11024186588996
0.364	0.312856440380674	8.63723882517231
0.365	-0.521241415487784	9.23178788833291
0.366	-1.34510481965337	8.92592267528589
0.367	-2.02506610386597	7.80178567488188
0.368	-2.46874458362033	5.91180969562465
0.369	-2.66414123618322	3.46684665166514
0.37	-2.59906037326157	0.602500684850753
0.371	-2.30673449532908	-2.24407810507676
0.372	-1.79765436531644	-4.88135438838376
0.373	-1.07462676031311	-7.18066266287384
0.374	-0.236594218851385	-8.72369692117003
0.375	0.643422373958194	-9.34377747856632
0.376	1.45247613356687	-9.01125601081067
0.377	2.12475277718316	-7.74997436933388
0.378	2.53028065990543	-5.91590668375376
0.379	2.71520428162457	-3.52948319012906
0.38	2.65551258970151	-0.735530132476566
0.381	2.37200853837182	2.0866913508126
0.382	1.85226566424915	4.75100088654956
0.383	1.12224298284942	7.10906869406402
0.384	0.311045047295849	8.63660523979253
0.385	-0.523440012105275	9.23115662656725
0.386	-1.34694861362081	8.92512305736275
0.387	-2.02692861381132	7.80038060410916
0.388	-2.4699270561156	5.91162662174543
0.389	-2.66494615920661	3.46827341408064
0.39	-2.60033213477825	0.605994048595979
0.391	-2.30794780035793	-2.23974664672221
0.392	-1.79834299550181	-4.87770552844917
0.393	-1.0748821150254	-7.17802424513815
0.394	-0.236883314325727	-8.72075741381987
0.395	0.643056956578812	-9.34098559490539
0.396	1.451966528433	-9.0089783865845
0.397	2.12399794814434	-7.74959025242603
0.398	2.52984845112531	-5.91506290238534
0.399	2.71485297254763	-3.52929187670666
0.4	2.65502608253526	-0.734744015262578
0.401	2.37133641668889	2.08706673977743
0.402	1.85176009888063	4.75036747607848
0.403	1.12160760137347	7.10801324143507
0.404	0.309232978817556	8.63617910966819
0.405	-0.525688688924498	9.23071961231719
0.406	-1.34883210485008	8.92451243703521
0.407	-2.02882731552614	7.79915143556702
0.408	-2.47104792520488	5.90598796477399
0.409	-2.6659444001824	3.46933223697355
0.41	-2.6014859914865	0.609333939086722
0.411	-2.30903820900162	-2.23534220667936
0.412	-1.799026571414	-4.87381471799253
0.413	-1.07519005747964	-7.17509990072319
0.414	-0.237224239262338	-8.71760664904279
0.415	0.642632493525591	-9.33799152564767
0.416	1.45139937772256	-9.00649745663486
0.417	2.12318781500347	-7.74899469425506
0.418	2.52934920042018	-5.91500996509983
0.419	2.71444622955198	-3.52889293147561
0.42	2.65450396128934	-0.73350783823245
0.421	2.37064426783349	2.08776793828367
0.422	1.85096501974702	4.75328875073066
0.423	1.1143545954118	7.1052643755751
0.424	0.309910076508122	8.63465258623181
0.425	-0.527829849028099	9.23081315993917
0.426	-1.35050806496193	8.92411212829385
0.427	-2.03060171814106	7.79807738848836
0.428	-2.47207197159906	5.90573045756845
0.429	-2.66648058016854	3.47053982118977
0.43	-2.60233705416112	0.612348973519589
0.431	-2.30989495096176	-2.23151730950836
0.432	-1.79956881871309	-4.87045374258633
0.433	-1.07540949371899	-7.1726212902289
0.434	-0.237490982509413	-8.71484221615253
0.435	0.642274394688962	-9.33536378474597
0.436	1.45090424124752	-9.00434201151406
0.437	2.12246913893086	-7.74867398951754
0.438	2.52896597310605	-5.9149257683305
0.439	2.71412228979269	-3.52842515739737
0.44	2.65404244577129	-0.732385904030818
0.441	2.37000378788731	2.08839027893778
0.442	1.85073732533785	4.75006988027775
0.443	1.12036678152402	7.106794907074
0.444	0.305814733209041	8.63592394057247
0.445	-0.530144848201404	9.23057921677637
0.446	-1.3525484989078	8.92402228239587
0.447	-2.03253602982537	7.79733781346079
0.448	-2.47338834825068	5.90558268460717
0.449	-2.6672703425289	3.47179133630511
0.45	-2.60336506995301	0.61520614724241
0.451	-2.31092706362484	-2.22785547830045
0.452	-1.80032872437792	-4.86721480539566
0.453	-1.07586386477131	-7.17017384889239
0.454	-0.237978279847479	-8.71214067683419
0.455	0.641686678604812	-9.33274561133223
0.456	1.45020079666399	-9.00217731681836
0.457	2.12161436671075	-7.74838140102536
0.458	2.52839910091563	-5.9147208873754
0.459	2.71360024027443	-3.5279606717014
0.46	2.65341175536431	-0.731227194936808
0.461	2.36921723235032	2.08911429344365
0.462	1.85006668029153	4.75026430749928
0.463	1.11967671129345	7.10622668435261
0.464	0.304135940227463	8.63584252219631
0.465	-0.532415106156046	9.23061223132053
0.466	-1.35444070976602	8.92391015795109
0.467	-2.0342369670671	7.79652073058511
0.468	-2.47459063764128	5.90541612477268
0.469	-2.66795021991174	3.47286011543496
0.47	-2.60424532441879	0.617783702037375
0.471	-2.31183451205709	-2.22448741015448
0.472	-1.80102465409028	-4.86418011863547
0.473	-1.07627942679161	-7.16791831688779
0.474	-0.238437787977547	-8.70960810186854
0.475	0.641115022715609	-9.3302723105373
0.476	1.44951624152038	-9.00013926100638
0.477	2.12081273751622	-7.74818883386069
0.478	2.52786207515977	-5.91450333377929
0.479	2.71310609430648	-3.52739210552108
0.48	2.65279946083613	-0.730042235853655
0.481	2.36845177332864	2.08984484208565
0.482	1.84943132486238	4.75043121383501
0.483	1.11900683206644	7.10576533336865
0.484	0.302524743880918	8.63586547256187
0.485	-0.534625496490446	9.23068945896211
0.486	-1.35628624137862	8.92386057094359
0.487	-2.03602573367385	7.79566615252834
0.488	-2.47572832130896	5.90525953180047
0.489	-2.66859037378835	3.47387297412896
0.49	-2.60504170556082	0.620176913271664
0.491	-2.31267225000042	-2.22130283200515
0.492	-1.80169981141257	-4.86125368078741
0.493	-1.07669368445003	-7.16577229858131
0.494	-0.238893130704686	-8.70720404643032
0.495	0.6405342142098	-9.32788984949917
0.496	1.44882624668539	-8.9981771181104
0.497	2.11998697713858	-7.7479881383235
0.498	2.52733200213802	-5.91425470274945
0.499	2.71258840775681	-3.52691655060732
0.5	2.6521976281369	-0.728840527259614
0.501	2.36769488674979	2.09064399100656
0.502	1.8488324023872	4.75059895296486
0.503	1.11835129327761	7.10538942985836
0.504	0.301001318930266	8.63590063565908
0.505	-0.536792772296401	9.2308783243352
0.506	-1.35809082922685	8.92390068583274
0.507	-2.03782615984472	7.79490685000983
0.508	-2.47681538365875	5.90511112168841
0.509	-2.66918146661145	3.47488010333535
0.51	-2.60578097028672	0.622433901151347
0.511	-2.31346097095548	-2.21827073434699
0.512	-1.80236081514174	-4.85843767816085
0.513	-1.07711057626269	-7.16371943656034
0.514	-0.239354137775585	-8.70489284021074
0.515	0.639938340130942	-9.32558221044941
0.516	1.44812568185272	-8.99627741839331
0.517	2.11919096641662	-7.74783060255581
0.518	2.52679301893145	-5.91400341495211
0.519	2.71207325889502	-3.52640618326198
0.52	2.65160685884701	-0.727547478321388
0.521	2.36694261838064	2.09147927000887
0.522	1.84817987401638	4.7510846438487
0.523	1.11770853627882	7.10502818283563
0.524	0.299563944287414	8.63584175769816
0.525	-0.538905067063157	9.2310970367473
0.526	-1.35985338106148	8.92398705368998
0.527	-2.03956039940312	7.79430768275383
0.528	-2.4778494863915	5.90501658561334
0.529	-2.66977338010833	3.47577127794682
0.53	-2.60648163440926	0.624578806750447
0.531	-2.31421870996966	-2.21535600374974
0.532	-1.80301786211299	-4.85573994627457
0.533	-1.07754082527459	-7.16174500925345
0.534	-0.239825915419155	-8.70268511724181
0.535	0.639324556557174	-9.32336758470473
0.536	1.44741164364856	-8.99445549906916
0.537	2.11838439669941	-7.74767466232332
0.538	2.52622828348145	-5.91385433198409
0.539	2.71156251459793	-3.5257902046985
0.54	2.65102562816309	-0.726182418864947
0.541	2.36619317606594	2.09232722561455
0.542	1.84757237497997	4.75145308846219
0.543	1.11706943912905	7.10476898432271
0.544	0.298154461598466	8.63590724257377
0.545	-0.54096686383435	9.23138380616467
0.546	-1.36349525632496	8.92550485493073
0.547	-2.04110701056869	7.79421984453451
0.548	-2.47871218546165	5.90496104084167
0.549	-2.67028244887934	3.47656797879379
0.55	-2.60708478046326	0.626535943571613
0.551	-2.31488860213555	-2.21264635633662
0.552	-1.80361469478303	-4.85319057574606
0.553	-1.07792640109356	-7.15991479959657
0.554	-0.240254599921474	-8.70062315214218
0.555	0.638741714421249	-9.32126967786039
0.556	1.44673573076251	-8.99273851195254
0.557	2.11761380363393	-7.74761320026629
0.558	2.52569773986923	-5.91374178204748
0.559	2.71109397534987	-3.52523936727962
0.56	2.65048554127323	-0.724884379554472
0.561	2.36549314664502	2.09315932363228
0.562	1.84700755609933	4.75183338831715
0.563	1.116471437514	7.10453101110701
0.564	0.296949880261933	8.63552025478373
0.565	-0.542926984582813	9.23168136085812
0.566	-1.36514104936007	8.92567083374045
0.567	-2.04266970225895	7.79363215109115
0.568	-2.47961161069529	5.90496297612406
0.569	-2.67082008900081	3.47737160085912
0.57	-2.60769464437538	0.628436574011999
0.571	-2.31556423566461	-2.21001280464776
0.572	-1.8042262955166	-4.85071989010896
0.573	-1.07833847916453	-7.15814198492939
0.574	-0.240708796911284	-8.69861714117542
0.575	0.638121753145155	-9.31920543181417
0.576	1.4460306626442	-8.99104840935981
0.577	2.11684940524455	-7.74756985118654
0.578	2.5251432381768	-5.91363409531521
0.579	2.71060158170128	-3.52459422034604
0.58	2.64992236964567	-0.723655471776175
0.581	2.36478215054065	2.09404638900528
0.582	1.84643710519332	4.75228513635429
0.583	1.11587278331478	7.10435641413785
0.584	0.295639938020044	8.63558355293367
0.585	-0.544833093404955	9.23199721182833
0.586	-1.36674666090647	8.92587451887763
0.587	-2.04425707850532	7.79299807023065
0.588	-2.48045587181771	5.90501883580433
0.589	-2.671348166261	3.47815098914789
0.59	-2.60828385430621	0.630244440539238
0.591	-2.31622144628611	-2.20747618080015
0.592	-1.80482442854184	-4.84836173396631
0.593	-1.07875299464718	-7.15644943278852
0.594	-0.241163329777974	-8.69670015793327
0.595	0.637485322821525	-9.31719625760024
0.596	1.44531946449634	-8.98940880428841
0.597	2.11607452206388	-7.74752202031995
0.598	2.52461041407291	-5.91342163851378
0.599	2.71010718001736	-3.52396474536414
0.6	2.64933718275022	-0.722623367987383
0.601	2.36408020887924	2.09496558527081
0.602	1.84587999086068	4.75276022790708
0.603	1.11527638222259	7.10428903036668
0.604	0.294393172641227	8.63556183609367
0.605	-0.546684811098703	9.23234571403102
0.606	-1.36831028998215	8.9261245463794
0.607	-2.04576791411692	7.79242056636195
