"Time [s]"	"Pem [kW]"	"Pout [kW]"	"Pin [kW]"
0.257	-0	-0	34.3840030346442
0.258	-0	-0	34.4437933606709
0.259	0	0	34.3556444685389
0.26	0	0	34.0992772624958
0.261	0	0	34.0977769414305
0.262	0	0	33.7255268442073
0.263	0	0	33.8884443195274
0.264	-0	-0	33.9052611511211
0.265	-0	-0	34.093478358787
0.266	-0	-0	34.3384347514687
0.267	-0	-0	34.9401754175651
0.268	-0	-0	35.4624156346525
0.269	0	0	35.4530782169424
0.27	0	0	35.0689881343182
0.271	0	0	34.5474804775206
0.272	0	0	34.0331536875904
0.273	0	0	33.9331066442989
0.274	0	0	34.0526899347111
0.275	0	0	34.2902162297691
0.276	-0	-0	34.4468931005825
0.277	-0	-0	34.3736848190652
0.278	-0	-0	34.4534234523463
0.279	0	0	34.3749911341579
0.28	0	0	34.0994015928704
0.281	0	0	34.0928233490216
0.282	0	0	33.7140857911861
0.283	0	0	33.8780737757858
0.284	-0	-0	33.8971431338665
0.285	-0	-0	34.0837784933814
0.286	-0	-0	34.3197655155448
0.287	-0	-0	34.9070481080301
0.288	-0	-0	35.4291813609116
0.289	0	0	35.4265301288399
0.29	0	0	35.0377460826489
0.291	0	0	34.5236950713922
0.292	0	0	34.0133065832264
0.293	0	0	33.9229428869324
0.294	0	0	34.0401705440752
0.295	0	0	34.2737989847448
0.296	-0	-0	34.4291980002035
0.297	-0	-0	34.3648830147227
0.298	-0	-0	34.463137584884
0.299	0	0	34.393582075555
0.3	0	0	34.1122295874154
0.301	0	0	34.0849661897559
0.302	0	0	33.7012023304618
0.303	0	0	33.8680465388745
0.304	-0	-0	33.8893232788095
0.305	-0	-0	34.074931556215
0.306	-0	-0	34.3030140600042
0.307	-0	-0	34.876882960306
0.308	-0	-0	35.3990585604998
0.309	0	0	35.4026022022218
0.31	0	0	35.0141956970286
0.311	0	0	34.5006563096216
0.312	0	0	33.9934598198868
0.313	0	0	33.913066991686
0.314	0	0	34.0279409902071
0.315	0	0	34.2583619694836
0.316	-0	-0	34.4124796588264
0.317	-0	-0	34.3566596061243
0.318	-0	-0	34.4724970596871
0.319	0	0	34.410767978082
0.32	0	0	34.123695978069
0.321	0	0	34.0793036549071
0.322	0	0	33.689978866827
0.323	0	0	33.8595797455529
0.324	-0	-0	33.8825016928055
0.325	-0	-0	34.0670984436527
0.326	-0	-0	34.2879720721951
0.327	-0	-0	34.8492091886189
0.328	-0	-0	35.371161083174
0.329	0	0	35.3801526106055
0.33	0	0	34.9922752384979
0.331	0	0	34.4800279752328
0.332	0	0	33.9746090488083
0.333	0	0	33.9040180500673
0.334	0	0	34.0165604947258
0.335	0	0	34.2441409024999
0.336	-0	-0	34.397002319698
0.337	-0	-0	34.3491350886586
0.338	-0	-0	34.4814717740181
0.339	0	0	34.4272168493713
0.34	0	0	34.134591041456
0.341	0	0	34.0746351776842
0.342	0	0	33.6801399553766
0.343	0	0	33.8518009139407
0.344	-0	-0	33.8764276223481
0.345	-0	-0	34.0600332504466
0.346	-0	-0	34.274407874996
0.347	-0	-0	34.8241222377065
0.348	-0	-0	35.3451506325824
0.349	0	0	35.3590455482812
0.35	0	0	34.971683171672
0.351	0	0	34.460943607201
0.352	0	0	33.9571254643869
0.353	0	0	33.8957233232064
0.354	0	0	34.0064873288364
0.355	0	0	34.2310314239454
0.356	-0	-0	34.3825638001293
0.357	-0	-0	34.3423695631794
0.358	-0	-0	34.4901338558061
0.359	0	0	34.4427634357421
0.36	0	0	34.1454170648989
0.361	0	0	34.0709065066544
0.362	0	0	33.6709303024538
0.363	0	0	33.8453132162583
0.364	-0	-0	33.8712203846777
0.365	-0	-0	34.0539074548851
0.366	-0	-0	34.2621344987074
0.367	-0	-0	34.8003697262099
0.368	-0	-0	35.3211242114536
0.369	0	0	35.339270156795
0.37	0	0	34.9524444332643
0.371	0	0	34.4433314211941
0.372	0	0	33.9407357380191
0.373	0	0	33.888099430909
0.374	0	0	33.9974787835836
0.375	0	0	34.2188691092601
0.376	-0	-0	34.3690765986999
0.377	-0	-0	34.336137752722
0.378	-0	-0	34.498363561605
0.379	0	0	34.4575577774343
0.38	0	0	34.1559711374812
0.381	0	0	34.0676772252263
0.382	0	0	33.6630118510468
0.383	0	0	33.8394405976778
0.384	-0	-0	33.8662364422206
0.385	-0	-0	34.0482457466218
0.386	-0	-0	34.2509043388114
0.387	-0	-0	34.7786558362208
0.388	-0	-0	35.2986208917807
0.389	0	0	35.3203522020416
0.39	0	0	34.9341812822889
0.391	0	0	34.4267917471274
0.392	0	0	33.9253806421242
0.393	0	0	33.8812285285588
0.394	0	0	33.988712553787
0.395	0	0	34.2076454350594
0.396	-0	-0	34.3565393418952
0.397	-0	-0	34.3305372709626
0.398	-0	-0	34.5047804141955
0.399	0	0	34.4718884351407
0.4	0	0	34.1655579151145
0.401	0	0	34.0645761189587
0.402	0	0	33.6552736530755
0.403	0	0	33.8337438961901
0.404	-0	-0	33.8621706782734
0.405	-0	-0	34.0428732711211
0.406	-0	-0	34.2403784797259
0.407	-0	-0	34.7581908297065
0.408	-0	-0	35.2650728930728
0.409	0	0	35.3073644871541
0.41	0	0	34.9145445179737
0.411	0	0	34.4089901200257
0.412	0	0	33.9082989157061
0.413	0	0	33.8722655651164
0.414	0	0	33.9783651850511
0.415	0	0	34.1953473342327
0.416	-0	-0	34.3433391823819
0.417	-0	-0	34.3245724851052
0.418	-0	-0	34.5120869483861
0.419	0	0	34.4849163023792
0.42	0	0	34.1755605158217
0.421	0	0	34.0630004078939
0.422	0	0	33.6596699243696
0.423	0	0	33.7885795310408
0.424	-0	-0	33.8655600077723
0.425	-0	-0	34.0383887683865
0.426	-0	-0	34.2287061289776
0.427	-0	-0	34.7368936311125
0.428	-0	-0	35.2416582331007
0.429	0	0	35.287429195856
0.43	0	0	34.8950864758786
0.431	0	0	34.3916373746908
0.432	0	0	33.8925949934783
0.433	0	0	33.8648723087819
0.434	0	0	33.9698314863083
0.435	0	0	34.1854794738356
0.436	-0	-0	34.3327544521701
0.437	-0	-0	34.3210017194981
0.438	-0	-0	34.5211224272553
0.439	0	0	34.4991095600009
0.44	0	0	34.1861788271432
0.441	0	0	34.0622807146715
0.442	0	0	33.6444519416057
0.443	0	0	33.8269645606209
0.444	-0	-0	33.8573733154513
0.445	-0	-0	34.0346871418078
0.446	-0	-0	34.2226604513579
0.447	-0	-0	34.7215310768445
0.448	-0	-0	35.2256878072398
0.449	0	0	35.2736689184665
0.45	0	0	34.8815327961751
0.451	0	0	34.3794064087968
0.452	0	0	33.8810054128873
0.453	0	0	33.8597505831999
0.454	0	0	33.9627135912604
0.455	0	0	34.1759350183197
0.456	-0	-0	34.3216248637373
0.457	-0	-0	34.3160176431468
0.458	-0	-0	34.5278179826194
0.459	0	0	34.5102327956616
0.46	0	0	34.194456495571
0.461	0	0	34.0600625439913
0.462	0	0	33.6394606376046
0.463	0	0	33.8225793777806
0.464	-0	-0	33.854851450285
0.465	-0	-0	34.0306463479972
0.466	-0	-0	34.2147755766467
0.467	-0	-0	34.7046674321503
0.468	-0	-0	35.208715368006
