"Time [s]"	"Current(Phase_A) [A]"	"Current(Phase_C) [A]"	"Current(Phase_B) [A]"
1.10899999999999	151.433958053681	-64.3837919665916	-87.0501660870895
1.10999999999999	147.401810687486	-100.960250918865	-46.4415597686212
1.11099999999999	130.388803373046	-127.803619882933	-2.58518349011274
1.11199999999999	100.920579412544	-142.896527613243	41.9759482006992
1.11299999999999	59.0131477612002	-144.155030240927	85.1418824797268
1.11399999999999	10.7043162750878	-129.628035971225	118.923719696138
1.11499999999999	-38.8959685551451	-101.167349720303	140.063318275448
1.11599999999999	-82.4475138270977	-63.564329511537	146.011843338635
1.11699999999999	-117.597963998724	-19.8872990584903	137.485263057215
1.11799999999999	-140.287537561799	22.7854199225232	117.502117639276
1.11899999999999	-150.391197067459	63.8169137984313	86.5742832690273
1.11999999999999	-146.404815669681	100.123583803405	46.2812318662758
1.12099999999999	-129.574604598275	126.973374529406	2.60123006886955
1.12199999999999	-99.9561341280939	142.045178141561	-42.0890440134669
1.12299999999999	-57.9853606533804	143.531793237794	-85.5464325844136
1.12399999999999	-9.76580256233414	129.104751022907	-119.338948460573
1.12499999999999	39.7531029813623	100.784599897242	-140.537702878604
1.12599999999999	83.5232990413755	63.1175502487514	-146.640849290127
1.12699999999999	118.183469727508	20.3930936389531	-138.576563366461
1.12799999999999	141.2574425322	-22.9818629092739	-118.275579622926
1.12899999999999	151.417248388098	-64.3722625035662	-87.044985884532
1.12999999999999	147.386945241551	-100.947957085421	-46.4389881561291
1.13099999999999	130.37667014321	-127.789790558326	-2.58687958488477
1.13199999999999	100.906822488604	-142.882857173113	41.9760346845097
1.13299999999999	58.9980348351101	-144.144013502478	85.145978667368
1.13399999999999	10.6909478834684	-129.617205732866	118.926257849398
1.13499999999999	-38.90777301215	-101.158637016082	140.066410028232
1.13599999999999	-82.4603850615282	-63.5566439933051	146.017029054833
1.13699999999999	-117.60646777127	-19.8921984092915	137.498666180562
1.13799999999999	-140.301602215722	22.7892759122222	117.512326303499
1.13899999999999	-150.405955020302	63.824815019921	86.5811400003809
1.13999999999999	-146.41851093958	100.13367714723	46.2848337923493
1.14099999999999	-129.585775889299	126.982175301712	2.60360058758739
1.14199999999999	-99.9690415835836	142.054556213744	-42.0855146301606
