"Time [s]"	"Moving1.Torque [kNewtonMeter]"
0.496	-0.136719360527382
0.497	-0.199222927774137
0.498	-0.131872793506895
0.499	0.0686152150129753
0.5	0.286892219808322
0.501	0.427355146566815
0.502	0.408910164339711
0.503	0.226711226337649
0.504	-0.0602147526651789
0.505	-0.331455773205569
0.506	-0.456100108952052
0.507	-0.394326203736803
0.508	-0.191118595125725
0.509	0.065308078006281
0.51	0.335610765108509
0.511	0.567850364432576
0.512	0.664604430526704
0.513	0.544831910230256
0.514	0.309437769645176
0.515	0.0524851147328254
0.516	-0.142649652108093
0.517	-0.203739006078121
0.518	-0.13357690601069
0.519	0.0685578662708493
0.52	0.288301222406253
0.521	0.430556742293636
0.522	0.414570245225276
0.523	0.233097283713713
0.524	-0.0534227210259609
0.525	-0.325085728422173
0.526	-0.451610065322029
0.527	-0.392221604822385
0.528	-0.190680758635422
0.529	0.0653478979635838
0.53	0.335024463648359
0.531	0.56619083425264
0.532	0.661570457134901
0.533	0.540223291759761
0.534	0.30357071461727
0.535	0.0461180436146963
0.536	-0.148305736363592
0.537	-0.208052840739904
0.538	-0.135174933409611
0.539	0.0685044577310296
0.54	0.289553018239274
0.541	0.433584774060492
0.542	0.419711418991597
0.543	0.239196169983084
0.544	-0.0468226577268268
0.545	-0.318935432986172
0.546	-0.448853381633523
0.547	-0.390325579624539
0.548	-0.19023026839592
0.549	0.0653633950271322
0.55	0.334479629119672
0.551	0.564594732292172
0.552	0.658657616194947
0.553	0.535820119563083
0.554	0.297967345599394
0.555	0.0400323876571078
0.556	-0.153703430276222
0.557	-0.212149337846762
0.558	-0.13666388624445
0.559	0.0683897090438341
0.56	0.29076415114831
0.561	0.436437902944019
0.562	0.424591388717709
0.563	0.245034223106317
0.564	-0.0409222484089592
0.565	-0.313034466929758
0.566	-0.444723041179274
0.567	-0.388459957516088
0.568	-0.189831044122909
0.569	0.0653758112076183
0.57	0.333954067972961
0.571	0.563053299009555
0.572	0.655837770437216
0.573	0.531601617541671
0.574	0.292586196631695
0.575	0.0341921274451067
0.576	-0.158869049818965
0.577	-0.216019509791421
0.578	-0.138067750357289
0.579	0.0683277327551564
0.58	0.291952315475039
0.581	0.439153657024298
0.582	0.429219701883192
0.583	0.250581540493788
0.584	-0.0349729768046485
0.585	-0.307382322990489
0.586	-0.440744238334174
0.587	-0.386632286398154
0.588	-0.189383730711037
0.589	0.0653873442416098
0.59	0.333443062961293
0.591	0.561561712526084
0.592	0.653099786936514
0.593	0.52755588914843
0.594	0.287415830386412
0.595	0.0285768354047117
0.596	-0.163822480992129
0.597	-0.219746107525151
0.598	-0.139406986196209
0.599	0.068256263117344
0.6	0.293185187889436
0.601	0.441718310973325
0.602	0.433586433559674
0.603	0.25593801406726
0.604	-0.0294765876428762
0.605	-0.30196400487819
0.606	-0.436910681166048
0.607	-0.384890782701179
0.608	-0.188950089849942
0.609	0.0654022047473867
0.61	0.332954195951263
0.611	0.560119123194042
0.612	0.650448808989648
0.613	0.523656373744681
0.614	0.28242853041591
0.615	0.0231721547291334
0.616	-0.168580600569763
0.617	-0.223224785305187
0.618	-0.140688275700472
0.619	0.0681707270754685
0.62	0.294258991920008
0.621	0.444167416492375
0.622	0.437792628969289
0.623	0.261035979218343
0.624	-0.0240709491834629
0.625	-0.296757830328774
0.626	-0.433215269110304
0.627	-0.383175328800729
0.628	-0.188525535546616
0.629	0.0654148652515115
0.63	0.332491821300178
0.631	0.558713929419749
0.632	0.647881117881584
0.633	0.519913606475649
0.634	0.277593731271563
0.635	0.0179719861328983
0.636	-0.173152505039933
0.637	-0.226563533753332
0.638	-0.14187444382638
0.639	0.0681441920946818
0.64	0.295264559983567
0.641	0.446513932342466
0.642	0.441859702566423
0.643	0.265930091724706
0.644	-0.0187937238978235
0.645	-0.291741000351264
0.646	-0.429647922113209
0.647	-0.381508347635939
0.648	-0.188090359089337
0.649	0.0654240404206488
0.65	0.332046375597565
0.651	0.557351879411217
0.652	0.645387344714632
0.653	0.516326361713161
0.654	0.27292542343149
0.655	0.0129626792140629
0.656	-0.177549270504559
0.657	-0.229767618340135
0.658	-0.142992151609217
0.659	0.0681092174038336
0.66	0.296137852390309
0.661	0.448757450653879
0.662	0.445737811750719
0.663	0.270607445231229
0.664	-0.0136945553902571
0.665	-0.286921732627083
0.666	-0.426202067730608
0.667	-0.379882581356273
0.668	-0.187692241330292
0.669	0.065429436128281
0.67	0.331617162226042
0.671	0.556038988129307
0.672	0.642966730704941
0.673	0.512886146054148
0.674	0.268424024207739
0.675	0.00813723315413476
0.676	-0.18178010528539
0.677	-0.23287039416509
0.678	-0.144036079583947
0.679	0.0680943915463353
0.68	0.296961636418928
0.681	0.450897479933177
0.682	0.449435696506127
0.683	0.275095607137903
0.684	-0.00889960498812823
0.685	-0.282253113386284
0.686	-0.422871369699396
0.687	-0.378341180735213
0.688000000000001	-0.187257595030775
0.689000000000001	0.0654368564570304
0.690000000000001	0.33120315808193
0.691000000000001	0.554759840857926
0.692000000000001	0.640611765308588
0.693000000000001	0.509565538441179
0.694000000000001	0.264067262652712
0.695000000000001	0.00348367409534428
0.696000000000001	-0.185856125353502
0.697000000000001	-0.235824320411795
0.698000000000001	-0.145025738066762
0.699000000000001	0.0680770135100723
0.700000000000001	0.29778198646412
0.701000000000001	0.452941038112348
0.702000000000001	0.45299381382125
0.703000000000001	0.279418692413979
0.704000000000001	-0.00426328797151187
0.705000000000001	-0.277743619750875
0.706000000000001	-0.419650635206837
0.707000000000001	-0.377138937338114
0.708000000000001	-0.186939969089546
0.709000000000001	0.0653427209217192
0.710000000000001	0.330796998081665
0.711000000000001	0.553530645882232
0.712000000000001	0.638322046091266
0.713000000000001	0.506362386103609
0.714000000000001	0.259865248372251
0.715000000000001	-0.00100554394827862
0.716000000000001	-0.189787240479248
0.717000000000001	-0.238644710057122
0.718000000000001	-0.145968323464083
0.719000000000001	0.0680449502913903
0.720000000000001	0.298502603840354
0.721000000000001	0.454887989324666
0.722000000000001	0.45644924597719
0.723000000000001	0.283557743381955
0.724000000000001	0.000194098841098742
0.725000000000001	-0.273388980043705
0.726000000000001	-0.416534980955955
0.727000000000001	-0.375274352110687
0.728000000000001	-0.186460051962011
0.729000000000001	0.065459524306265
0.730000000000001	0.330393580219137
0.731000000000001	0.552340548086393
0.732000000000001	0.636101784810619
0.733000000000001	0.503280581059608
0.734000000000001	0.255835344535722
0.735000000000001	-0.00533072213610776
0.736000000000001	-0.193582771462644
0.737000000000001	-0.241352947196858
0.738000000000001	-0.146894568291027
0.739000000000001	0.0680432504469016
0.740000000000001	0.299268690838895
0.741000000000001	0.456721253094284
0.742000000000001	0.459788824897343
0.743000000000001	0.287516903141151
0.744000000000001	0.00451155297315007
0.745000000000001	-0.269201519246911
0.746000000000001	-0.413517380537355
0.747000000000001	-0.373827968846093
0.748000000000001	-0.186051416283016
0.749000000000001	0.0654604574352832
0.750000000000001	0.33000826330761
0.751000000000001	0.551185759138875
0.752000000000001	0.633941523305415
0.753000000000001	0.500294176184773
0.754000000000001	0.251963095898234
0.755000000000001	-0.00950790935803364
0.756000000000001	-0.197248954088491
0.757000000000001	-0.2439040184991
0.758000000000001	-0.14773808207995
0.759000000000001	0.0680928610988879
0.760000000000001	0.29994361954798
0.761000000000001	0.458457192474253
0.762000000000001	0.462863663589187
0.763000000000001	0.291329742562776
0.764000000000001	0.00868294728128782
0.765000000000001	-0.265171712567634
0.766000000000001	-0.410592972424243
0.767000000000001	-0.372412651229018
0.768000000000001	-0.185661310024423
0.769000000000001	0.0654629940465363
0.770000000000001	0.329634598550871
0.771000000000001	0.550064588606128
0.772000000000001	0.631834373365664
0.773000000000001	0.497394780228535
0.774000000000001	0.248236719701973
0.775000000000001	-0.013544856732419
0.776000000000001	-0.200790504860556
0.777000000000001	-0.246394091076928
0.778000000000001	-0.148561355564468
0.779000000000001	0.0680056963948056
0.780000000000001	0.300633305952285
0.781000000000001	0.460124762064781
0.782000000000001	0.465839218398088
0.783000000000001	0.295001307158102
0.784000000000001	0.01273398420665
0.785000000000001	-0.261281972620321
0.786000000000001	-0.407757262868585
0.787000000000001	-0.371063429053927
0.788000000000001	-0.185266924246376
0.789000000000001	0.0654563966243674
0.790000000000001	0.329270543613977
0.791000000000001	0.548986506471416
0.792000000000001	0.629783861896544
0.793000000000001	0.494597897541897
0.794000000000001	0.244651814521676
0.795000000000001	-0.017442190311166
0.796000000000001	-0.204210830759306
0.797000000000001	-0.248785307900248
0.798000000000001	-0.149354702282294
0.799000000000001	0.067855558906004
0.800000000000001	0.301291677289464
0.801000000000001	0.461741127091512
0.802000000000001	0.468737120400338
0.803000000000001	0.298571856456013
0.804000000000001	0.0166619706874653
0.805000000000001	-0.257530869584989
0.806000000000001	-0.405007226813825
0.807000000000001	-0.369712802715434
0.808000000000001	-0.184870940287903
0.809000000000001	0.065448995426448
0.810000000000001	0.328916010389097
0.811000000000001	0.547932371000786
0.812000000000001	0.627790424503653
0.813000000000001	0.491900396966944
0.814000000000001	0.241204684629432
0.815000000000001	-0.0212089782753545
0.816000000000001	-0.207516152069661
0.817000000000001	-0.251066041882296
0.818000000000001	-0.150099989266622
0.819000000000001	0.0677536721829292
0.820000000000001	0.301920307999186
0.821000000000001	0.463306970958345
0.822000000000001	0.471560146906729
0.823000000000001	0.301957442125879
0.824000000000001	0.0203734355325625
0.825000000000001	-0.253909211791003
0.826000000000001	-0.402341561822987
0.827000000000001	-0.368395476241703
0.828000000000001	-0.184499684060587
0.829000000000001	0.0654436663757064
0.830000000000001	0.328571400238411
0.831000000000001	0.546907437578063
0.832000000000001	0.625854373297659
0.833000000000001	0.489294979165367
0.834000000000001	0.237876503359513
0.835000000000001	-0.0248483768710542
0.836000000000001	-0.210710272813506
0.837000000000001	-0.253273560311005
0.838000000000001	-0.150843943190698
0.839000000000001	0.0677129493676742
0.840000000000001	0.302535884567736
0.841000000000001	0.464822912759896
0.842000000000001	0.474301080506976
0.843000000000001	0.30519875705199
0.844000000000001	0.024033329629835
0.845000000000001	-0.250236946315581
0.846000000000001	-0.399758394120095
0.847000000000001	-0.367111593854978
0.848000000000001	-0.184126648347141
0.849000000000001	0.0654438336460928
0.850000000000001	0.328237073907173
0.851000000000001	0.545905470649387
0.852000000000001	0.623966306422584
0.853000000000001	0.486774762063284
0.854000000000001	0.234653845335137
0.855000000000001	-0.0283663645987268
0.856000000000001	-0.21379707591441
0.857000000000001	-0.255365597466071
0.858000000000001	-0.151551991118372
0.859000000000001	0.0677021399712541
0.860000000000001	0.303087299507084
0.861000000000001	0.466290977683957
0.862000000000001	0.47691439714938
0.863000000000001	0.308343978880213
0.864000000000001	0.0270448179248329
0.865000000000001	-0.247019718583501
0.866000000000001	-0.397248363866988
0.867000000000001	-0.36586311883671
0.868000000000001	-0.183778663400194
0.869000000000001	0.0654348447537936
0.870000000000001	0.327907604735144
0.871000000000001	0.544923672859154
0.872000000000001	0.622127598511829
0.873000000000001	0.484331143224517
0.874000000000001	0.231536427793966
0.875000000000001	-0.03176838009892
0.876000000000001	-0.216781410322236
0.877000000000001	-0.257441976980285
0.878000000000001	-0.152210700351327
0.879000000000001	0.0676939696874876
0.880000000000001	0.303673622890044
0.881000000000001	0.467712424011604
0.882000000000001	0.479431857608619
0.883000000000001	0.311353934082366
0.884000000000001	0.0299654374339454
0.885000000000001	-0.243776135874758
0.886000000000001	-0.39481468745941
0.887000000000001	-0.364672586144163
0.888000000000001	-0.183439307267465
0.889000000000001	0.065426809816573
0.890000000000001	0.327588199868968
0.891000000000001	0.543970180191509
0.892000000000001	0.62033995409817
0.893000000000001	0.481967536090666
0.894000000000001	0.228523146253545
0.895000000000001	-0.0350601890583857
0.896000000000001	-0.219667897465786
0.897000000000001	-0.25941776495265
0.898000000000001	-0.15286576141712
0.899000000000001	0.0677008907966649
0.900000000000001	0.304190578742224
0.901000000000001	0.469076258271112
0.902000000000001	0.481860301756704
0.903000000000001	0.314244600517415
0.904000000000001	0.0328291898702791
0.905000000000001	-0.240638923226883
0.906000000000001	-0.392453371090751
0.907000000000001	-0.363509487553901
0.908000000000001	-0.183106291473628
0.909000000000001	0.0654261158395307
0.910000000000001	0.327277061018499
0.911000000000001	0.543046745480229
0.912000000000001	0.618601429995569
0.913000000000001	0.479679226456636
0.914000000000001	0.225610964100026
0.915000000000001	-0.0382438247665889
0.916000000000001	-0.2224588368589
0.917000000000001	-0.261310476054368
0.918000000000001	-0.153476121479347
0.919000000000001	0.0677195335715007
0.920000000000001	0.304719528868341
0.921000000000001	0.470378682752298
0.922000000000001	0.484191714104131
0.923000000000001	0.317032640716042
0.924000000000001	0.035740627264232
0.925000000000001	-0.237606302656142
0.926000000000001	-0.390161605115677
0.927000000000001	-0.362360441733009
0.928000000000001	-0.182763502506128
0.929000000000001	0.0654265798411918
0.930000000000001	0.326978221547305
0.931000000000001	0.542151461244944
0.932000000000001	0.616913422130629
0.933000000000001	0.477463877319872
0.934000000000001	0.222789701677098
0.935000000000001	-0.0413230321235635
0.936000000000001	-0.225157800080604
0.937000000000001	-0.263131910722475
0.938000000000001	-0.154053451019251
0.939000000000001	0.0677860219023406
0.940000000000001	0.305180771590221
0.941000000000001	0.471634444510506
0.942000000000001	0.486439503739686
0.943000000000001	0.319723157855815
0.944000000000001	0.0385831616896141
0.945000000000001	-0.234681522398246
0.946000000000001	-0.387936790922723
0.947000000000001	-0.361211062818534
0.948000000000001	-0.182428177602992
0.949000000000001	0.0654283096406056
0.950000000000001	0.326690949798737
0.951000000000001	0.541277062898032
0.952000000000001	0.61526573094459
0.953000000000001	0.475315682468155
0.954000000000001	0.220056052612012
0.955000000000001	-0.0443004415753038
0.956000000000001	-0.227766485070586
0.957000000000001	-0.264896270669455
0.958000000000001	-0.154601825736412
0.959000000000001	0.0678476011724171
0.960000000000001	0.305622727720037
0.961000000000001	0.472845838981567
0.962000000000001	0.48859379622214
0.963000000000001	0.322344104652736
0.964000000000001	0.041386657919513
0.965000000000001	-0.231857852834343
0.966000000000001	-0.385775902779468
0.967000000000001	-0.360100022834082
0.968000000000001	-0.182119654146184
0.969000000000001	0.0654285159772276
0.970000000000001	0.326410755994341
0.971000000000001	0.54022724779888
0.972000000000001	0.613748195093779
0.973000000000001	0.473301592523862
0.974000000000001	0.217457476002469
0.975000000000001	-0.0471575820856649
0.976000000000001	-0.230269894753073
0.977000000000001	-0.266572948670051
0.978000000000001	-0.155128802064931
0.979000000000001	0.0679031021077219
0.980000000000001	0.306038736173466
