"Time [s]"	"Current(EndConnection) [kA]"	"RingCurrent(EndConnection) [kA]"
0.643	0.0152229327247282	-0.126101809320251
0.644	-0.0224105128752187	-0.0815299560883858
0.645	-0.0137729133673472	0.0445275705292647
0.646	0.0029452889834709	0.0994675904862155
0.647	0.0337639110316914	5.56725976063177E-05
0.648	0.0294585338210315	-0.111908507145434
0.649	-0.0292160858294953	-0.0793208999977295
0.65	-0.0369950561814832	0.0539876492118033
0.651	0.0146067947526395	0.114936438701773
0.652	0.0409765379575881	-0.00361738715132002
0.653	0.0143985586295153	-0.123747783953958
0.654	-0.0274234676972945	-0.0743851183752232
0.655	-0.0124508951677384	0.0511218441864239
0.656	0.00167413386591676	0.105875314829205
0.657	0.03380600965066	0.00437581415699196
0.658	0.0224048769396833	-0.103548843245398
0.659	-0.0341893713361602	-0.0686364624833935
0.66	-0.0399715238256505	0.0644925330482434
0.661	0.0113335084441475	0.122339649983102
0.662	0.0376167622643648	0.00182889290314779
0.663	0.0110258875564724	-0.115930733216325
0.664	-0.0300763268297075	-0.0654372179175269
0.665	-0.0168740756530781	0.0590034023253462
0.666	-0.000629313160167214	0.111828423181194
0.667	0.0271491026705163	0.00875308506840521
0.668	0.0230128682470829	-0.101615944467076
0.669	-0.0361537776283359	-0.065678738301539
0.67	-0.0388806546633585	0.0668038808880378
0.671	0.0125538261716746	0.122574526031255
0.672	0.0394346113658097	0.000471705776031996
0.673	0.0121443545916606	-0.118638688337253
0.674	-0.0298527617474293	-0.069162493581046
0.675	-0.0142597367777165	0.0538147159075884
0.676	0.00141303733486349	0.106254636053441
0.677	0.0327015891368303	0.00390135820580009
0.678	0.0248555102304257	-0.106818285135949
0.679	-0.0330764431262599	-0.0735950629733019
0.68	-0.0367658798288491	0.0568834653765243
0.681	0.0138536724530969	0.116173093672311
0.682	0.0439263270716573	-0.00329268484950366
0.683	0.0141687038795253	-0.12314451298819
0.684	-0.0233468127963511	-0.0793650249602825
0.685	-0.015066767060307	0.0466079262706004
0.686	0.00161027768348808	0.102124803029694
0.687	0.0326471242624367	0.00327823429486942
0.688000000000001	0.0285760956070768	-0.109241375287808
0.689000000000001	-0.029896139718238	-0.0777471801228599
0.690000000000001	-0.0380371569126116	0.0553411567238785
0.691000000000001	0.0136748323227791	0.116715191874338
0.692000000000001	0.0405178975266325	-0.00136463758223121
0.693000000000001	0.0142390282133199	-0.122348619279172
0.694000000000001	-0.0272950187688632	-0.0746598133543761
0.695000000000001	-0.0129883478402348	0.0505492813427335
