"Time [s]"	"Pem [kW]"
0.699000000000001	-0.298500566246199
0.700000000000001	0.511657605954063
0.701000000000001	0.505107175153937
0.702000000000001	-0.0775717885101183
0.703000000000001	-0.417638579770132
0.704000000000001	-0.133478117586346
0.705000000000001	0.564847208976436
0.706000000000001	0.488965928409261
0.707000000000001	-0.33366889213882
0.708000000000001	-0.579101411084697
0.709000000000001	-0.243557910817852
0.710000000000001	0.389250664979327
0.711000000000001	0.477220206390443
0.712000000000001	0.00554303248968471
0.713000000000001	-0.377004757156557
0.714000000000001	-0.20507351687723
0.715000000000001	0.701056039540782
0.716000000000001	0.652490830581176
0.717000000000001	-0.227564944618515
0.718000000000001	-0.3939704016149
0.719000000000001	-0.103919406408598
0.720000000000001	0.544537302069442
0.721000000000001	0.610950591305511
0.722000000000001	0.0307127199466377
0.723000000000001	-0.363456862014557
0.724000000000001	0.0962206910821583
0.725000000000001	0.843671558528629
0.726000000000001	0.637599392253043
0.727000000000001	-0.195441332342527
0.728000000000001	-0.405828181563149
0.729000000000001	-0.0583093901846744
0.730000000000001	0.410417812577187
0.731000000000001	0.557795640571164
0.732000000000001	-0.0271152521530697
0.733000000000001	-0.370753567328087
0.734000000000001	-0.0153733698288033
0.735000000000001	0.712884530044117
0.736000000000001	0.634165297322775
0.737000000000001	-0.220395292245266
0.738000000000001	-0.48700125421456
0.739000000000001	-0.297538617137384
0.740000000000001	0.505669917574748
0.741000000000001	0.511988513169876
0.742000000000001	-0.071825208573427
0.743000000000001	-0.410909122176215
0.744000000000001	-0.106701007002183
0.745000000000001	0.602230740297872
0.746000000000001	0.519648943652207
0.747000000000001	-0.29245952042621
0.748000000000001	-0.540284022709906
0.749000000000001	-0.185827810023356
0.750000000000001	0.420592552501013
0.751000000000001	0.510585767749413
0.752000000000001	0.0220431414183147
0.753000000000001	-0.357932378305939
0.754000000000001	-0.151167112822551
0.755000000000001	0.719398721301473
0.756000000000001	0.666688172644557
0.757000000000001	-0.209666622640413
0.758000000000001	-0.384370148537631
0.759000000000001	-0.0935543298037882
0.760000000000001	0.533424508747986
0.761000000000001	0.612243987054727
0.762000000000001	0.0191537531513063
0.763000000000001	-0.383257799699312
0.764000000000001	0.0793904548946046
0.765000000000001	0.821582040504304
0.766000000000001	0.618404654753171
0.767000000000001	-0.210488543728472
0.768000000000001	-0.43924638130218
0.769000000000001	-0.0931723403464779
0.770000000000001	0.375802584109769
0.771000000000001	0.536282402984856
0.772000000000001	-0.0502640801555223
0.773000000000001	-0.406075730755052
0.774000000000001	-0.0396688929046222
0.775000000000001	0.682615314389901
0.776000000000001	0.620095487097829
0.777000000000001	-0.22804472694716
0.778000000000001	-0.50481732295366
0.779000000000001	-0.310696927304977
0.780000000000001	0.493723932358404
0.781000000000001	0.508321761658571
0.782000000000001	-0.0753032953551174
0.783000000000001	-0.417205012131518
0.784000000000001	-0.096810742688236
0.785000000000001	0.622697279890803
0.786000000000001	0.53957228404072
0.787000000000001	-0.260729364332017
0.788000000000001	-0.514332668446178
0.789000000000001	-0.143897767025099
0.790000000000001	0.444548187835108
0.791000000000001	0.534806188897
0.792000000000001	0.0331403838549582
0.793000000000001	-0.34127790338018
0.794000000000001	-0.102729934805811
0.795000000000001	0.736736688340714
0.796000000000001	0.679188193501159
0.797000000000001	-0.188350644323253
0.798000000000001	-0.371651526291342
0.799000000000001	-0.0754831574200993
0.800000000000001	0.529816344125742
0.801000000000001	0.619244493137132
0.802000000000001	0.0148286298320569
0.803000000000001	-0.391284396580147
0.804000000000001	0.0787577774251057
0.805000000000001	0.81169499605999
0.806000000000001	0.607410500043308
0.807000000000001	-0.212740900604715
0.808000000000001	-0.461996151113433
0.809000000000001	-0.113284539393517
0.810000000000001	0.351815291456827
0.811000000000001	0.521039501516108
0.812000000000001	-0.0685452439791727
0.813000000000001	-0.436133622732788
0.814000000000001	-0.0566872088412559
0.815000000000001	0.654830921462146
0.816000000000001	0.606898145783805
0.817000000000001	-0.235645706223101
0.818000000000001	-0.527947322454529
0.819000000000001	-0.327909524014626
0.820000000000001	0.477192568342304
0.821000000000001	0.499829629876406
0.822000000000001	-0.0838187400352607
0.823000000000001	-0.430194035159466
0.824000000000001	-0.0961684769033799
0.825000000000001	0.632759507188525
0.826000000000001	0.550541443609445
0.827000000000001	-0.236736273771956
0.828000000000001	-0.510436675465972
0.829000000000001	-0.113973951382037
0.830000000000001	0.462414590559618
0.831000000000001	0.55203683229736
0.832000000000001	0.0411507593578032
0.833000000000001	-0.327258072345194
0.834000000000001	-0.0593470931687173
0.835000000000001	0.752083555617485
0.836000000000001	0.687373212046649
0.837000000000001	-0.16539586135111
0.838000000000001	-0.358862021003706
0.839000000000001	-0.054325881039234
0.840000000000001	0.532440697891827
0.841000000000001	0.628721106645936
0.842000000000001	0.0151943665608234
0.843000000000001	-0.391230224638382
0.844000000000001	0.0869537945495392
0.845000000000001	0.809858873511495
0.846000000000001	0.601888539446403
0.847000000000001	-0.207546910260857
0.848000000000001	-0.476901351423883
0.849000000000001	-0.123384625427032
0.850000000000001	0.336247596041929
0.851000000000001	0.512582058381393
0.852000000000001	-0.0830134992287373
0.853000000000001	-0.461959882735801
0.854000000000001	-0.0675530128894189
0.855000000000001	0.629436856472937
0.856000000000001	0.594997445692306
0.857000000000001	-0.242343085503522
0.858000000000001	-0.551324359558016
0.859000000000001	-0.346711445610251
0.860000000000001	0.458110266574994
0.861000000000001	0.488476203625966
0.862000000000001	-0.0956967874040953
0.863000000000001	-0.447236823901379
0.864000000000001	-0.102330938065289
0.865000000000001	0.635803128913039
0.866000000000001	0.554382665013067
0.867000000000001	-0.217610164179241
0.868000000000001	-0.511270752703325
0.869000000000001	-0.0935469473376946
0.870000000000001	0.475713282365126
0.871000000000001	0.563719325137992
0.872000000000001	0.046466020342195
0.873000000000001	-0.316243721397664
0.874000000000001	-0.0265966432358261
0.875000000000001	0.764327066444312
0.876000000000001	0.693275024930697
0.877000000000001	-0.142618426159571
0.878000000000001	-0.352813660738953
0.879000000000001	-0.0333938505752321
0.880000000000001	0.538511085686979
0.881000000000001	0.638567907646821
0.882000000000001	0.018463946042354
0.883000000000001	-0.385812762371133
0.884000000000001	0.0973009005574136
0.885000000000001	0.813714688570943
0.886000000000001	0.600497059393779
0.887000000000001	-0.196999949914668
0.888000000000001	-0.485350167498442
0.889000000000001	-0.125886970172144
0.890000000000001	0.32848441783274
0.891000000000001	0.509741479936261
0.892000000000001	-0.0938342973201765
0.893000000000001	-0.482985885883944
0.894000000000001	-0.071626064641988
0.895000000000001	0.607959307685011
0.896000000000001	0.585392021329416
0.897000000000001	-0.246841792536991
0.898000000000001	-0.573459498518127
0.899000000000001	-0.364523115044154
0.900000000000001	0.43847337154059
0.901000000000001	0.475847808176996
0.902000000000001	-0.108733451678052
0.903000000000001	-0.466233046547479
0.904000000000001	-0.112243714581378
0.905000000000001	0.634419740558708
0.906000000000001	0.556606150297794
0.907000000000001	-0.202387440412992
0.908000000000001	-0.515601183384427
0.909000000000001	-0.0810590172583993
0.910000000000001	0.484807995164734
0.911000000000001	0.570785951407911
0.912000000000001	0.0494522978539792
0.913000000000001	-0.308566875434698
0.914000000000001	0.000992289572670678
0.915000000000001	0.773206681048124
0.916000000000001	0.696513518428626
0.917000000000001	-0.121816067504058
0.918000000000001	-0.351409440083036
0.919000000000001	-0.0158236863180476
0.920000000000001	0.544067908233227
0.921000000000001	0.64680375439722
0.922000000000001	0.0217948262216131
0.923000000000001	-0.378062533782144
0.924000000000001	0.106833903836873
0.925000000000001	0.81990161554592
0.926000000000001	0.60125213234003
0.927000000000001	-0.184086155581767
0.928000000000001	-0.489798121388457
0.929000000000001	-0.124538182718056
0.930000000000001	0.326504745997562
0.931000000000001	0.510274067289502
0.932000000000001	-0.101145639005375
0.933000000000001	-0.500133781458512
0.934000000000001	-0.0705542330000848
0.935000000000001	0.590850802975932
0.936000000000001	0.578121805069754
0.937000000000001	-0.248768255296885
0.938000000000001	-0.593472878151311
0.939000000000001	-0.379523552825131
0.940000000000001	0.41979495015924
0.941000000000001	0.463274013844959
0.942000000000001	-0.12146886215534
0.943000000000001	-0.485068473033353
0.944000000000001	-0.122819236655756
0.945000000000001	0.631541775736054
0.946000000000001	0.558591517889918
0.947000000000001	-0.188696673838003
0.948000000000001	-0.521304234542757
0.949000000000001	-0.0733939942404169
0.950000000000001	0.491935644938144
0.951000000000001	0.574812007678073
0.952000000000001	0.0512132751772223
0.953000000000001	-0.302930768162163
0.954000000000001	0.0241755410875874
0.955000000000001	0.785791558350383
0.956000000000001	0.697928399154438
0.957000000000001	-0.103340247893234
0.958000000000001	-0.352514916026632
