"Time [s]"	"FluxLinkage(Phase_A) [Wb]"	"FluxLinkage(Phase_C) [Wb]"	"FluxLinkage(Phase_B) [Wb]"
0.125	-0.00289487212765691	1.00403237624313	-0.915069460176434
0.126	0.411747690899908	0.782726713407017	-1.13638288628994
0.127	0.691918952008486	0.517650545306143	-1.25987618492861
0.128	0.947956315532481	0.0985663316908296	-1.1282028930605
0.129	1.18131039365275	-0.352490776987056	-0.889939404464601
0.13	1.3526384528624	-0.702850448413857	-0.626948080504209
0.131	1.2401730542801	-0.971272781132089	-0.228252700390011
0.132	1.01183172124388	-1.23170631827235	0.241590890900479
0.133	0.755873310663641	-1.42259625584772	0.651778274236431
0.134	0.370244995582779	-1.3182655416685	0.952817627772727
0.135	-0.1080616157024	-1.11049858801877	1.2494366682852
0.136	-0.559452843773664	-0.874520116429331	1.45730227506644
0.137	-0.891683824867985	-0.505833723868269	1.36634281856368
0.138	-1.22076524758849	-0.0286157490388013	1.18522188187702
0.139	-1.45249646191472	0.453496484254089	0.960650023649517
0.14	-1.41309871305327	0.818812350698334	0.622261845799477
0.141	-1.25024291790969	1.1575004279841	0.15263146491711
0.142	-1.01791452290634	1.41771204280473	-0.330748159152993
0.143	-0.729942003403162	1.49125710378927	-0.762745676271464
0.144	-0.290684364790369	1.34863940808527	-1.07913144983431
0.145	0.18987569617088	1.1090046051701	-1.34800015389018
0.146	0.658767413336214	0.785770718172018	-1.5100704558736
0.147	1.05206042176863	0.413031436686075	-1.51561684059743
0.148	1.30064838205406	-0.0236171242602663	-1.29723644206792
0.149	1.44401351357014	-0.49204518837075	-0.97713653786093
0.15	1.47432981297999	-0.93111848886012	-0.579668137859863
0.151	1.38189436580521	-1.28919699646408	-0.126586669063117
0.152	1.17298616162934	-1.52578264121421	0.345091828163249
0.153	0.833506490697439	-1.59831814322612	0.770569363451899
0.154	0.391986001061759	-1.51316186846576	1.11749423619546
0.155	-0.0894311179843548	-1.30789026253037	1.37239509391237
0.156	-0.564554212959563	-0.989809093357466	1.50905486878042
0.157	-0.992364759823051	-0.587038979414591	1.51569153883741
0.158	-1.32267588876238	-0.12422176150382	1.39116214052055
0.159	-1.53505133095307	0.369719872028202	1.14186964743324
0.16	-1.61353076465115	0.823932891308371	0.784416076745066
0.161	-1.54204708267628	1.19583639362138	0.350871318830705
0.162	-1.32893292135557	1.44829596520353	-0.120537991800754
0.163	-0.981024646688863	1.57006624652079	-0.580272942308757
0.164	-0.539471045012009	1.55189371075887	-0.984503205780012
0.165	-0.0479732384123561	1.39303990543455	-1.29864620267017
0.166	0.444442437671716	1.09773105131226	-1.49959115562114
0.167	0.904323009317476	0.699826024130715	-1.56957590981137
0.168	1.28217605509672	0.245378364802549	-1.48506547361606
0.169	1.52648073826069	-0.231253665296619	-1.24173579625216
0.17	1.60215529432555	-0.692782917145211	-0.862739760812397
0.171	1.5301328423291	-1.10010462603158	-0.397379203603192
