"Slice []"	"Time [ns]"	"Distance [mm]"	"Flux_Lines []"	"Mag_B [tesla]"	"Br []"	"Bt []"
1	2000000000	333.8517	0.0323662130360164	0.359021034848021	-0.359837622694612	-0.00974484738985195
1	2000000000	334.365318	0.0322162437430406	0.215821166973786	-0.223944329842702	0.0545447398319278
1	2000000000	334.878936	0.032148835120115	0.277672845502646	-0.253598320871777	0.0938105739689002
1	2000000000	335.392554	0.031940494987484	0.591000246770932	-0.558538865276392	-0.179246046484084
1	2000000000	335.906172	0.031574203055869	1.15276061394542	-0.868632171413634	-0.447220508710822
1	2000000000	336.41979	0.0309257683671338	1.29680297257602	-1.32336545661144	-0.129926194929626
1	2000000000	336.933408	0.0302917580831787	1.1449984329335	-1.14518563956164	-0.041110804406272
1	2000000000	337.447026	0.0297496641399626	0.920632523741294	-0.965470165124378	0.0422812576798959
1	2000000000	337.960644	0.0293790202095075	0.646358429219405	-0.528128841181578	0.128370142273534
1	2000000000	338.474262	0.0291494499487658	0.37927716469701	-0.366534445782121	-0.101502196346262
1	2000000000	338.98788	0.0290017412967566	0.411388071770799	-0.209403114140771	-0.342239036795623
1	2000000000	339.501498	0.0288343957328445	0.658927643926772	-0.574855375225265	-0.0736957356351461
1	2000000000	340.015116	0.0284878602124161	0.78458937304527	-0.774114593832211	0.0677758017637608
1	2000000000	340.528734	0.0280396638574466	0.948899894844573	-0.970684605320357	0.217862098839465
1	2000000000	341.042352	0.0275175030576961	1.01327908142808	-0.959901908086705	-0.0114287717793959
1	2000000000	341.55597	0.0270233750957069	0.970220402524633	-0.96420074738235	-0.00191157180972997
1	2000000000	342.069588	0.0265270640347314	0.962591199116799	-0.968405953051531	0.00656920675580719
1	2000000000	342.583206	0.0260281751593353	0.970777456824187	-0.977229363671397	-0.0326086968298505
1	2000000000	343.096824	0.0255305541823179	0.960450513462181	-0.960417865236001	-0.00508344747071074
1	2000000000	343.610442	0.0250416813683214	0.941480572206619	-0.943164807580803	0.0223866300090305
1	2000000000	344.12406	0.0245617840217383	0.913808864596075	-0.925467957213814	0.0497984868628548
1	2000000000	344.637678	0.0241810912675494	0.609520923080303	-0.60796391234877	0.0155128743435077
1	2000000000	345.151296	0.0239365384445675	0.373571317615182	-0.344771703720255	-0.127589799937188
1	2000000000	345.664914	0.0238264384868321	0.232175777544263	-0.0844765482664253	-0.290383884850891
1	2000000000	346.178532	0.0236350535488115	0.592672415962206	-0.590195550380724	0.00343751636011375
1	2000000000	346.69215	0.023235236371953	0.979031283985585	-0.966213249002346	0.157352866902852
1	2000000000	347.205768	0.0226430621270103	1.30653473782487	-1.33911384820281	0.343540067107084
1	2000000000	347.719386	0.0219176576291971	1.37739340187409	-1.38777338761102	-0.20050813813541
1	2000000000	348.233004	0.0212289679591653	1.29425274187431	-1.29336526265626	-0.00497033763348787
1	2000000000	348.746622	0.0205896785475582	1.17005238130381	-1.19543479634566	0.184006643807824
1	2000000000	349.26024	0.0200655561578492	0.906755970699458	-0.814478725940171	-0.057411849950709
1	2000000000	349.773858	0.0197202807129013	0.554420713316578	-0.530267515724649	-0.138109925163231
1	2000000000	350.287476	0.0195205625914681	0.279715757196902	-0.247732433795539	-0.230731036232238
1	2000000000	350.801094	0.0194118002874622	0.369325169641756	-0.346709548710696	0.0776293281182614
1	2000000000	351.314712	0.0191576348591157	0.650895505538502	-0.64292935885526	0.106367156421668
1	2000000000	351.82833	0.0187514729904441	0.933965515561755	-0.938525123727872	0.148571829102884
1	2000000000	352.341948	0.0182103758239879	1.10870455383176	-1.06349375226887	0.0294887293489961
1	2000000000	352.855566	0.0176644971537379	1.06852032479377	-1.06222929368532	0.0060519993526986
1	2000000000	353.369184	0.0171191318832482	1.0610891332313	-1.06149675410835	-0.0180627416638992
1	2000000000	353.882802	0.0165710488938191	1.08788107201103	-1.11873539535974	-0.406824959283948
1	2000000000	354.39642	0.016020605403276	1.0580526563352	-1.02385514105081	-0.142104284162973
1	2000000000	354.910038	0.0155201377084242	0.8503354624411	-0.924162987759434	0.113027078825112
1	2000000000	355.423656	0.0150720757284691	0.517723918759976	-0.819820401873816	0.358530138509364
1	2000000000	355.937274	0.0149239181622784	0.30997914570241	-0.275573519345581	0.117966068437026
1	2000000000	356.450892	0.0147716872751115	0.328565119058041	-0.317789962311781	-0.0656431609602535
1	2000000000	356.96451	0.0145968790381769	0.540002069332067	-0.363485142679163	-0.248372761609969
1	2000000000	357.478128	0.0141124490496404	0.967328168282248	-1.12796643472052	-0.220276288232725
1	2000000000	357.991746	0.0135106951954765	1.24123153433657	-1.21429482827107	0.0877711001586041
1	2000000000	358.505364	0.012866082004456	1.2948130534133	-1.29482607770517	0.405366738968368
1	2000000000	359.018982	0.0122147471269768	1.26562467440806	-1.25255837545514	0.0249891355389475
1	2000000000	359.5326	0.0115660866058048	1.27357825359992	-1.27337312464047	0.00927633531286792
1	2000000000	360.046218	0.0109066357167781	1.2848689054292	-1.29456991534084	-0.00487321268050078
1	2000000000	360.559836	0.0102643546871391	1.09778060621512	-1.10543212083075	-0.137630061755528
1	2000000000	361.073454	0.00979470230706379	0.739418274811784	-0.723450524622602	-0.159822212244263
1	2000000000	361.587072	0.0095210955734753	0.395627407849389	-0.342104962712412	-0.19871388985096
1	2000000000	362.10069	0.00940604459931068	0.291936351016114	-0.285624841360383	0.169180471067441
1	2000000000	362.614308	0.00918573515722738	0.589788443551492	-0.572343128082526	0.145480764745645
1	2000000000	363.127926	0.00881805683346231	0.885485277840857	-0.859423478440359	0.134763057204598
1	2000000000	363.641544	0.00829827721877549	1.13583656011076	-1.16617667480427	-0.218338987415346
1	2000000000	364.155162	0.00769372992746262	1.18741016820914	-1.18743135369342	-0.0599470942938254
1	2000000000	364.66878	0.00707901159118838	1.19504418193182	-1.20577590528733	0.100364672218541
1	2000000000	365.182398	0.00645768940878962	1.14560205737854	-1.12977040244201	-0.155183926694193
1	2000000000	365.696016	0.00594503867302607	0.877943524937077	-0.866162626238826	-0.0532841043548603
1	2000000000	366.209634	0.0055682144548181	0.592981240786549	-0.600944017636347	0.0247126883964508
1	2000000000	366.723252	0.0053279419465129	0.294132300142667	-0.334514043459016	0.0787948096061212
1	2000000000	367.23687	0.00518924207656354	0.399630513750247	-0.376524973037474	0.0861143309925355
1	2000000000	367.750488	0.00493118999668504	0.635065535659155	-0.628768734506256	-0.05305262269092
1	2000000000	368.264106	0.00454292501131013	0.957031025137484	-0.883496308877462	-0.171220220084449
1	2000000000	368.777724	0.00400014573699614	1.11499427335372	-1.12555798040948	-0.0551794727349954
1	2000000000	369.291342	0.00340755189204589	1.18250803929931	-1.18178885487984	0.0124648893531034
1	2000000000	369.80496	0.0027863815806576	1.22133898946095	-1.23682791802156	0.0813188873640325
1	2000000000	370.318578	0.00215457159264447	1.21631386617976	-1.21454371626647	-0.0190472779856468
1	2000000000	370.832196	0.00153413640479527	1.20215029281594	-1.20128716104869	0.0258610261548055
1	2000000000	371.345814	0.000920706948856934	1.19362099051399	-1.18725671850004	0.0731396138388993
1	2000000000	371.859432	0.000308603147180296	1.116714948529	-1.14591681938165	-0.242345217532809
1	2000000000	372.37305	-0.000215419436785296	0.901219982180461	-0.894209448265089	-0.112547074443253
1	2000000000	372.886668	-0.000609566071719092	0.692589580191526	-0.640225978447498	0.007083021429195
1	2000000000	373.400286	-0.000819876629664283	0.484087376997514	-0.122307639402095	0.477568817464195
1	2000000000	373.913904	-0.000955178164131728	0.452043360650784	-0.405252409345406	0.258881785656881
1	2000000000	374.427522	-0.00123684090738795	0.745124876051299	-0.692165366383746	0.0588740885767177
1	2000000000	374.94114	-0.00167973578571581	1.04661624626808	-1.13155417543143	-0.0898798859693663
1	2000000000	375.454758	-0.00227537714822184	1.18042845321733	-1.18769180161575	-0.0322543008237517
1	2000000000	375.968376	-0.00289959862833138	1.22824415394128	-1.24284738464595	0.0240012712893138
1	2000000000	376.481994	-0.00355148932738907	1.171325618005	-0.765999965735933	0.504156283944925
1	2000000000	376.995612	-0.00389433661798808	0.649988099969207	-0.569898288201072	0.231390659866519
1	2000000000	377.50923	-0.0041378060134965	0.36778455671905	-0.37904256677259	-0.0465013854995917
1	2000000000	378.022848	-0.00428460643372428	0.326782608812852	-0.193492283486244	-0.329474017439981
1	2000000000	378.536466	-0.00453122538524913	0.625127628113796	-0.644969942042324	-0.0859598445828819
1	2000000000	379.050084	-0.00492988401814446	0.913067978020058	-0.906806767110168	0.105822836920307
1	2000000000	379.563702	-0.00546208813295218	1.13796899056953	-1.16492007947008	0.317674447504154
