"Time [s]"	"Pro [W]"
0.453	102.297890259902
0.454	102.101922574162
0.455	101.988726452256
0.456	101.968830570694
0.457	101.89750641745
0.458	101.744381564196
0.459	101.571837367196
0.46	101.502673569036
0.461	101.511690531419
0.462	101.488216028746
0.463	101.418366399402
0.464	101.351701658542
0.465	101.366584452117
0.466	101.432610912328
0.467	101.44467276791
0.468	101.402511057862
0.469	101.394055132453
0.47	101.464201908999
0.471	101.57434447865
0.472	101.651324877194
0.473	101.685866865533
0.474	101.740653350985
0.475	101.872766889336
0.476	102.032633192431
0.477	102.114892436082
0.478	102.134622309104
0.479	102.180161657433
0.48	102.283522823066
0.481	102.407038953211
0.482	102.477306828662
0.483	102.478556485774
0.484	102.483970490144
0.485	102.56029387903
0.486	102.657635010067
0.487	102.670323522888
0.488	102.603531067326
0.489	102.524131020529
0.49	102.492638420804
0.491	102.508502401179
0.492	102.493786680218
0.493	102.40989459132
0.494	102.279937908023
0.495	102.222129545918
0.496	102.238696575458
0.497	102.192588439855
0.498	102.062527621688
0.499	101.911450026434
0.5	101.85036658691
0.501	101.860042914636
0.502	101.832731317365
0.503	101.749600118219
0.504	101.658889007588
0.505	101.644933754189
0.506	101.684105806596
0.507	101.668817830294
0.508	101.590015744426
0.509	101.527235589347
0.51	101.542215792831
0.511	101.610584073466
0.512	101.653416724834
0.513	101.651801589077
0.514	101.654186277204
0.515	101.734565126994
0.516	101.861648538256
0.517	101.918803695822
0.518	101.913829171822
0.519	101.934006960466
0.52	102.017333970628
0.521	102.130975909261
0.522	102.197804880695
0.523	102.200627156151
0.524	102.215910596938
0.525	102.307912187678
0.526	102.420819060521
0.527	102.451179400417
0.528	102.407450743388
0.529	102.366651210615
0.53	102.374869682792
0.531	102.420932151615
0.532	102.433000313447
0.533	102.379665544932
0.534	102.299495235087
0.535	102.287866055447
0.536	102.33579122147
0.537	102.314900507132
0.538	102.210333036892
0.539	102.089023260031
0.54	102.047335640528
0.541	102.06868800146
0.542	102.049547704504
0.543	101.970019569352
0.544	101.87947516439
0.545	101.860118727079
0.546	101.891840148128
0.547	101.867016215039
0.548	101.772473909704
0.549	101.684063700045
0.55	101.671390834947
0.551	101.716985810539
0.552	101.738945981488
0.553	101.713348811859
0.554	101.680089995647
0.555	101.723974417645
0.556	101.825974071242
0.557	101.862221488389
0.558	101.834262029821
0.559	101.827100129176
0.56	101.886302789468
0.561	101.984511650716
0.562	102.041167141864
0.563	102.035887884509
0.564	102.044112481646
0.565	102.132755407486
0.566	102.246422272003
0.567	102.281004415567
0.568	102.244673913822
0.569	102.218809329502
0.57	102.24474744965
0.571	102.305443777675
0.572	102.330988338441
0.573	102.292878437561
0.574	102.24228247616
0.575	102.260793852399
0.576	102.328503696085
0.577	102.326302451292
0.578	102.242717178443
0.579	102.146976192254
0.58	102.124156075031
0.581	102.15992101166
0.582	102.153322842951
0.583	102.083958333266
0.584	102.004505924503
0.585	101.991839958449
0.586	102.026946343965
0.587	102.003136014105
0.588	101.906649047265
0.589	101.813016473323
0.59	101.792024236147
0.591	101.828912973524
0.592	101.842126645956
0.593	101.80416497962
0.594	101.751910967846
0.595	101.775652350319
0.596	101.862375652352
0.597	101.885216012203
0.598	101.84101178713
0.599	101.812714937758
0.6	101.851924038106
0.601	101.935824172627
0.602	101.981650357367
0.603	101.965572739476
0.604	101.960646799618
0.605	102.037804900905
0.606	102.144964327794
0.607	102.176264766504
0.608	102.137913430692
0.609	102.1123554819
0.61	102.140854421654
0.611	102.205123954233
0.612	102.234945376222
0.613	102.20194870483
0.614	102.164728285206
0.615	102.198489551274
0.616	102.276564026374
0.617	102.285512274025
0.618	102.215243744672
0.619	102.136041189969
0.62	102.126531513427
0.621	102.173554904675
0.622	102.178606900964
0.623	102.120176710045
0.624	102.053271405641
0.625	102.05126215641
0.626	102.094245394755
0.627	102.07669000029
0.628	101.985346705752
0.629	101.897157718943
0.63	101.878681708393
0.631	101.915355264026
0.632	101.927703249809
0.633	101.885558406536
0.634	101.826629017863
0.635	101.842682525534
0.636	101.922182500458
0.637	101.938279136738
0.638	101.884939419322
0.639	101.8436919081
0.64	101.869545654165
0.641	101.943185241174
0.642	101.980650103325
